Sample #,Relative Time[s],Flow [ml/min]
0,0.0053,-0.004
1,0.0106,-0.006
2,0.0159,-0.004
3,0.0205,-0.006
4,0.0251,-0.004
5,0.0297,-0.004
6,0.0343,-0.006
7,0.0389,-0.008
8,0.0435,-0.006
9,0.0481,-0.006
10,0.0526,-0.006
11,0.0571,0.002
12,0.0616,0.004
13,0.0662,0.008
14,0.0707,0
15,0.0752,0
16,0.0798,0.006
17,0.0841,-0.006
18,0.0885,-0.004
19,0.0928,0
20,0.0972,-0.008
21,0.1015,-0.014
22,0.1059,-0.014
23,0.1102,-0.01
24,0.1146,-0.014
25,0.1189,-0.01
26,0.1233,-0.002
27,0.1276,-0.002
28,0.133,0.004
29,0.1383,0
30,0.1436,0.004
31,0.1489,0.004
32,0.1543,0.004
33,0.1596,0
34,0.1642,-0.006
35,0.1687,0
36,0.1733,-0.004
37,0.1778,-0.004
38,0.1824,-0.01
39,0.1869,-0.008
40,0.1915,-0.01
41,0.1968,-0.006
42,0.2021,-0.006
43,0.2074,0
44,0.2127,-0.006
45,0.218,-0.004
46,0.2233,0.006
47,0.2273,0
48,0.2313,-0.004
49,0.2352,0
50,0.2392,0
51,0.2432,-0.004
52,0.2472,-0.006
53,0.2512,-0.004
54,0.2551,-0.004
55,0.2605,0.002
56,0.2658,0
57,0.2711,-0.002
58,0.2765,-0.004
59,0.2818,-0.004
60,0.2871,0.004
61,0.2917,0.006
62,0.2962,-0.004
63,0.3008,0
64,0.3053,0
65,0.3099,-0.008
66,0.3145,-0.002
67,0.319,0.002
68,0.3243,-0.004
69,0.3297,-0.014
70,0.335,-0.004
71,0.3403,-0.002
72,0.3457,0.01
73,0.351,0.002
74,0.3559,0.004
75,0.3608,-0.006
76,0.3657,-0.002
77,0.3706,0
78,0.3755,0
79,0.3804,-0.004
80,0.3853,-0.004
81,0.3902,-0.014
82,0.3951,-0.004
83,0.4,-0.004
84,0.4048,0
85,0.4097,0.002
86,0.4146,0
87,0.4192,0
88,0.4237,0.006
89,0.4283,0.004
90,0.4328,0.008
91,0.4374,-0.002
92,0.442,0
93,0.4465,0.004
94,0.4513,-0.006
95,0.4561,-0.002
96,0.4609,-0.016
97,0.4657,-0.018
98,0.4704,-0.01
99,0.4752,-0.006
100,0.48,-0.008
101,0.4848,-0.002
102,0.4896,0
103,0.4944,0.004
104,0.4989,0
105,0.5035,0.006
106,0.5081,0.004
107,0.5126,0.008
108,0.5172,0.004
109,0.5218,-0.002
110,0.5263,-0.004
111,0.5311,-0.004
112,0.5359,-0.008
113,0.5407,0
114,0.5454,-0.008
115,0.5502,-0.002
116,0.555,-0.008
117,0.5598,-0.004
118,0.5646,0.004
119,0.5694,-0.002
120,0.5741,0.002
121,0.5787,0.002
122,0.5832,0.004
123,0.5878,-0.002
124,0.5924,-0.002
125,0.5969,-0.01
126,0.6015,-0.01
127,0.606,-0.012
128,0.6113,-0.014
129,0.6167,-0.006
130,0.622,-0.006
131,0.6273,-0.008
132,0.6326,-0.008
133,0.6379,-0.004
134,0.6433,-0.006
135,0.6486,0
136,0.6539,-0.002
137,0.6592,0.004
138,0.6645,-0.004
139,0.6699,0
140,0.6738,-0.004
141,0.6778,0
142,0.6818,-0.008
143,0.6858,0.004
144,0.6898,-0.002
145,0.6938,-0.004
146,0.6978,-0.006
147,0.7018,-0.004
148,0.7061,-0.008
149,0.7105,-0.006
150,0.7148,0.002
151,0.7191,0
152,0.7235,-0.002
153,0.7278,0.002
154,0.7322,-0.004
155,0.7365,-0.004
156,0.7409,0
157,0.7452,-0.006
158,0.7496,-0.004
159,0.7549,-0.016
160,0.7602,0
161,0.7655,-0.004
162,0.7708,-0.004
163,0.7762,-0.004
164,0.7815,0
165,0.786,-0.004
166,0.7906,-0.004
167,0.7951,0.002
168,0.7997,0
169,0.8042,0
170,0.8087,-0.004
171,0.8133,-0.008
172,0.8186,0
173,0.8239,0
