Sample #,Relative Time[s],Flow [ml/min]
0,0.0054,-0.008
1,0.0107,-0.008
2,0.0161,0.002
3,0.0206,0
4,0.0252,0.008
5,0.0298,0
6,0.0343,0
7,0.0389,0.002
8,0.0434,-0.002
9,0.048,0
10,0.0525,0.004
11,0.0571,0
12,0.0616,0.002
13,0.0662,0.006
14,0.0708,0.004
15,0.0753,0.004
16,0.0799,-0.002
17,0.0847,-0.004
18,0.0894,0.006
19,0.0942,0.004
20,0.099,-0.004
21,0.1038,-0.002
22,0.1086,0.004
23,0.1134,0
24,0.1182,0
25,0.123,0
26,0.1278,0.004
27,0.1323,0.006
28,0.1369,0.002
29,0.1414,-0.01
30,0.146,0
31,0.1505,-0.004
32,0.1551,0.008
33,0.1596,0.002
34,0.1656,-0.004
35,0.1716,-0.002
36,0.1776,0
37,0.1836,0
38,0.1895,0.004
39,0.1955,-0.002
40,0.2015,0
41,0.2075,0
42,0.2115,0.002
43,0.2155,0
44,0.2194,0
45,0.2234,0
46,0.2274,0
47,0.2314,-0.004
48,0.2354,0.002
49,0.2393,-0.002
50,0.2443,-0.004
51,0.2492,0.004
52,0.2541,0.004
53,0.259,0
54,0.2639,0.004
55,0.2688,-0.002
56,0.2738,-0.006
57,0.2787,-0.004
58,0.2836,0
59,0.2885,0.002
60,0.2934,0.004
61,0.2983,0
62,0.3032,-0.004
63,0.3072,-0.002
64,0.3112,0
65,0.3152,-0.002
66,0.3192,0.002
67,0.3232,0.004
68,0.3271,0.004
69,0.3311,0
70,0.3351,0
71,0.3391,0.004
72,0.3431,-0.002
73,0.347,0.002
74,0.351,0
75,0.355,0.002
76,0.359,-0.002
77,0.363,0.002
78,0.367,0
79,0.3734,0.006
80,0.3799,0.002
81,0.3864,0.002
82,0.3929,0
83,0.3994,0
84,0.4046,0
85,0.4099,0.006
86,0.4151,0
87,0.4204,0
88,0.4256,0.004
89,0.4309,0.004
90,0.4361,0.002
91,0.4414,0
92,0.4466,0
93,0.4506,-0.002
94,0.4546,-0.002
95,0.4586,-0.004
96,0.4626,0.004
97,0.4666,0.002
98,0.4705,-0.002
99,0.4745,0.002
100,0.4785,0
101,0.4831,0.004
102,0.4876,-0.002
103,0.4922,0.002
104,0.4968,0.002
105,0.5014,0.004
106,0.5059,0.004
107,0.5105,0
108,0.5158,0.002
109,0.5211,0
110,0.5264,0
111,0.5317,0.004
112,0.537,0
113,0.5423,0
114,0.5464,0
115,0.5504,-0.002
116,0.5544,-0.006
117,0.5584,0
118,0.5624,0.002
119,0.5664,0.004
120,0.5704,0
121,0.5744,0
122,0.5797,0.002
123,0.585,0.004
124,0.5903,0.004
125,0.5956,0
126,0.6009,0.002
127,0.6062,0
128,0.6108,0.004
129,0.6153,0
130,0.6199,0.004
131,0.6245,0.006
132,0.629,-0.002
133,0.6336,0
134,0.6381,0
135,0.6435,0.004
136,0.6488,-0.004
137,0.6541,0
138,0.6594,0
139,0.6648,-0.002
140,0.6701,-0.004
141,0.6754,0
142,0.6807,-0.002
143,0.686,0.002
144,0.6913,0
145,0.6966,0.004
146,0.7019,-0.002
147,0.7072,0.004
148,0.7125,-0.004
149,0.7178,0.004
150,0.7219,0.004
151,0.7259,-0.002
152,0.7299,0
153,0.7339,0
154,0.7379,0
155,0.742,0.004
156,0.746,0
157,0.75,0
158,0.7553,0.004
159,0.7606,0.004
160,0.7659,0.002
161,0.7712,0
162,0.7765,-0.004
163,0.7818,0.002
164,0.7871,-0.004
165,0.7924,-0.006
166,0.7977,0
167,0.8017,0.002
168,0.8057,0.004
169,0.8096,0
170,0.8136,0.004
171,0.8176,0
172,0.8215,0.002
173,0.8255,0.004
174,0.8295,0.006
175,0.8348,0.008
176,0.8401,0
177,0.8454,0.006
178,0.8508,0
179,0.8561,0.004
180,0.8614,0.004
181,0.8667,0.002
182,0.872,-0.008
183,0.8773,-0.002
184,0.8813,0
185,0.8853,0
186,0.8893,0.004
187,0.8933,0.004
188,0.8973,0.006
189,0.9013,0.004
190,0.9053,0
191,0.9092,0
192,0.9146,0.002
193,0.9199,-0.004
194,0.9252,0.004
195,0.9305,0.004
196,0.9358,0
197,0.9412,0
198,0.9465,-0.002
199,0.9518,0.008
200,0.9571,0
201,0.9625,0.002
202,0.9678,-0.004
203,0.9731,0
204,0.9771,0.002
205,0.9811,0
206,0.9851,0
207,0.989,-0.006
208,0.993,0.004
209,0.997,0
210,1.001,0.002
211,1.005,0.002
212,1.009,-0.002
213,1.013,0.004
214,1.0169,0.004
215,1.0209,0.004
216,1.0249,0.006
217,1.0289,0.008
218,1.0329,0.002
219,1.0369,0.008
220,1.0432,0.006
221,1.0496,0.004
222,1.056,-0.002
223,1.0624,-0.004
224,1.0688,-0.002
225,1.0728,0.004
226,1.0768,-0.004
227,1.0808,-0.002
228,1.0848,-0.004
229,1.0887,0
230,1.0927,0.012
231,1.0967,-0.002
232,1.1007,0
233,1.106,0.004
234,1.1113,-0.004
235,1.1167,-0.002
236,1.122,0.006
237,1.1273,0.006
238,1.1326,0.002
239,1.1371,-0.004
240,1.1417,-0.002
241,1.1462,0.002
242,1.1508,-0.004
243,1.1554,0
244,1.1599,0.002
245,1.1645,-0.002
246,1.1698,0.004
247,1.1751,0.008
248,1.1804,0.002
249,1.1857,0.004
250,1.1911,0.004
251,1.1964,-0.002
252,1.2012,0
253,1.206,0.004
254,1.2107,0.004
255,1.2155,0
256,1.2203,-0.002
257,1.2251,0.008
258,1.2299,0.01
259,1.2347,0
260,1.2394,0
261,1.2442,0
262,1.2488,0.004
263,1.2533,-0.004
264,1.2579,0
265,1.2624,0.004
266,1.267,0
267,1.2716,0.004
268,1.2761,0
269,1.2801,0.002
270,1.2841,-0.006
271,1.2881,0
272,1.2921,-0.004
273,1.2961,-0.002
274,1.3001,-0.004
275,1.3041,0
276,1.3081,0.002
277,1.3145,0.004
278,1.3208,0.004
279,1.3272,-0.004
280,1.3336,0
281,1.34,0.002
282,1.3439,0
283,1.3479,0.004
284,1.3519,0
285,1.3559,0.004
286,1.3599,-0.002
287,1.3639,0.004
288,1.3679,0.002
289,1.3719,0.002
290,1.3772,0
291,1.3825,0.004
292,1.3878,0.004
293,1.3931,0.002
294,1.3984,0
295,1.4037,0.01
296,1.4077,0
297,1.4117,0.002
298,1.4157,0.004
299,1.4197,-0.002
300,1.4237,0
301,1.4276,0
302,1.4316,-0.004
303,1.4356,0
304,1.442,0.004
305,1.4484,0.002
306,1.4547,0
307,1.4611,-0.004
308,1.4675,0
309,1.4728,0.002
310,1.4781,-0.002
311,1.4834,-0.004
312,1.4888,0.004
313,1.4941,0
314,1.4994,0.004
315,1.5047,-0.006
316,1.5101,0
317,1.5154,0
318,1.5194,-0.006
319,1.5233,0
320,1.5273,0
321,1.5313,0.002
322,1.5353,-0.002
323,1.5393,0
324,1.5433,0
325,1.5473,0.002
326,1.5526,-0.002
327,1.5579,0.002
328,1.5632,0
329,1.5685,-0.002
330,1.5739,0.006
331,1.5792,0.004
332,1.5845,-0.002
333,1.5898,-0.006
334,1.5951,-0.002
335,1.5991,0.01
336,1.6031,0
337,1.6071,0.004
338,1.6111,-0.004
339,1.6151,0
340,1.6191,0
341,1.6231,0.008
342,1.6271,0
343,1.6311,0.002
344,1.6351,0
345,1.6391,0.002
346,1.643,-0.004
347,1.647,0
348,1.651,0
349,1.655,-0.008
350,1.659,0
351,1.6653,0
352,1.6717,0.004
353,1.6781,0.004
354,1.6845,0.004
355,1.6909,0
356,1.6962,0.004
357,1.7015,-0.002
358,1.7068,0.002
359,1.7121,0
360,1.7174,-0.004
361,1.7227,0.002
362,1.728,0
363,1.7333,0
364,1.7386,-0.002
365,1.7426,0.004
366,1.7466,-0.002
367,1.7506,0.004
368,1.7546,0
369,1.7586,0.004
370,1.7626,0.004
371,1.7666,0
372,1.7707,0.002
373,1.776,0.01
374,1.7813,-0.004
375,1.7866,0.006
376,1.7919,0.002
377,1.7972,0
378,1.8025,0.004
379,1.8079,0
380,1.8132,0.004
381,1.8185,0.004
382,1.8225,0.01
383,1.8265,0
384,1.8305,0
385,1.8344,0.004
386,1.8384,-0.002
387,1.8424,-0.002
388,1.8464,-0.002
389,1.8504,0.004
390,1.8564,-0.004
391,1.8624,-0.01
392,1.8684,0
393,1.8743,0.008
394,1.8803,0.002
395,1.8863,-0.002
396,1.8923,0.004
397,1.8983,0
398,1.9023,0.008
399,1.9063,0.004
400,1.9103,0.004
401,1.9143,-0.002
402,1.9184,0
403,1.9224,0.008
404,1.9264,-0.004
405,1.9304,0.002
406,1.9344,-0.002
407,1.9383,0.002
408,1.9423,-0.002
409,1.9463,0.004
410,1.9502,0.004
411,1.9542,0
412,1.9582,0.004
413,1.9621,-0.004
414,1.9661,0
415,1.9701,0
416,1.974,0
417,1.978,-0.004
418,1.9844,0
419,1.9907,0.006
420,1.9971,0.004
421,2.0035,0.004
422,2.0099,0.002
423,2.0138,0
424,2.0178,0.002
425,2.0218,-0.004
426,2.0258,0.002
427,2.0298,0
428,2.0338,0
429,2.0377,0.004
430,2.0417,0.004
431,2.0481,0.006
432,2.0545,0
433,2.0609,0
434,2.0672,-0.004
435,2.0736,0.002
436,2.0776,-0.002
437,2.0816,-0.004
438,2.0856,0.004
439,2.0896,0
440,2.0936,0
441,2.0975,0.004
442,2.1015,0
443,2.1055,0.004
444,2.1095,0
445,2.1135,0.002
446,2.1175,0.006
447,2.1215,0.004
448,2.1279,0
449,2.1343,0.002
450,2.1407,0.008
451,2.1471,0.002
452,2.1535,0.006
453,2.1578,-0.004
454,2.1622,-0.002
455,2.1666,0.004
456,2.171,0.004
457,2.1754,0.004
458,2.1797,0.004
459,2.1841,0
460,2.1885,0
461,2.1933,0.004
462,2.1981,0.004
463,2.2029,0.004
464,2.2077,0.002
465,2.2125,0.004
466,2.2172,0
467,2.2226,-0.004
468,2.2279,-0.004
469,2.2332,-0.002
470,2.2386,0.008
471,2.2439,-0.002
472,2.2492,-0.002
473,2.2545,-0.004
474,2.2599,0.002
475,2.2652,0.002
476,2.2697,0
477,2.2743,0.002
478,2.2788,0.002
479,2.2834,0
480,2.2879,-0.004
481,2.2924,-0.002
482,2.297,-0.002
483,2.3018,0.006
484,2.3066,-0.002
485,2.3113,0.002
486,2.3161,-0.01
487,2.3209,0
488,2.3257,0.002
489,2.3305,-0.004
490,2.3352,-0.004
491,2.34,-0.004
492,2.3448,0.002
493,2.3494,0.004
494,2.3539,-0.002
495,2.3585,0
496,2.3631,-0.004
497,2.3676,0.004
498,2.3722,0
499,2.3768,0
500,2.3821,0
501,2.3874,0
502,2.3927,0
503,2.398,0.004
504,2.4033,0.006
505,2.4086,0.004
506,2.4139,0
507,2.4192,0.004
508,2.4245,-0.004
509,2.4285,0
510,2.4325,0.004
511,2.4365,0
512,2.4405,0.002
513,2.4445,0.002
514,2.4485,0
515,2.4525,-0.008
516,2.4565,0.002
517,2.4618,0
518,2.4671,0.004
519,2.4724,0.004
520,2.4777,0
521,2.4831,0
522,2.4884,-0.004
523,2.4937,-0.004
524,2.499,0.006
525,2.5043,0
526,2.5083,0
527,2.5123,0.004
528,2.5163,-0.006
529,2.5203,0.004
530,2.5243,0.004
531,2.5283,-0.002
532,2.5323,-0.002
533,2.5363,-0.004
534,2.5416,0.004
535,2.5469,-0.002
536,2.5522,0
537,2.5575,-0.002
538,2.5629,0.004
539,2.5682,0
540,2.5735,0
541,2.5788,-0.006
542,2.5841,-0.002
543,2.5881,0.006
544,2.5921,-0.008
545,2.5961,0
546,2.6001,0
547,2.604,-0.004
548,2.608,0.002
549,2.612,0.002
550,2.616,0
551,2.6205,-0.006
552,2.6251,0.004
553,2.6296,0.004
554,2.6342,0.004
555,2.6387,-0.004
556,2.6433,-0.002
557,2.6479,-0.002
558,2.6532,-0.002
559,2.6585,0.004
560,2.6638,0.004
561,2.6691,0.002
562,2.6744,-0.004
563,2.6797,-0.002
564,2.6837,0.002
565,2.6877,-0.002
566,2.6917,-0.006
567,2.6957,0.002
568,2.6996,0.006
569,2.7036,0
570,2.7076,-0.004
571,2.7116,0.006
572,2.7169,0
573,2.7222,0.004
574,2.7275,0
575,2.7328,0
576,2.7381,-0.006
577,2.7435,-0.006
578,2.748,0.002
579,2.7526,0
580,2.7572,0
581,2.7618,-0.004
582,2.7664,0.004
583,2.7709,0
584,2.7755,0.002
585,2.7808,0
586,2.7862,0.004
587,2.7915,0.004
588,2.7968,0
589,2.8022,-0.004
590,2.8075,-0.002
591,2.8128,0
592,2.8181,0
593,2.8235,0.004
594,2.8288,0.002
595,2.8341,0.002
596,2.8394,0.002
597,2.8447,-0.004
598,2.85,-0.002
599,2.8553,0
600,2.8593,0
601,2.8633,0.004
602,2.8673,-0.008
603,2.8712,0.008
604,2.8752,-0.008
605,2.8792,0
606,2.8831,0.004
607,2.8871,-0.004
608,2.8919,0
609,2.8967,0
610,2.9015,-0.008
611,2.9063,-0.004
612,2.9111,0
613,2.9159,-0.002
614,2.9207,0
615,2.9255,-0.006
616,2.9303,0.002
617,2.9351,0
618,2.9396,0
619,2.9442,0
620,2.9487,0
621,2.9532,0
622,2.9578,-0.008
623,2.9623,-0.004
624,2.9669,0.006
625,2.9709,-0.01
626,2.9748,0.01
627,2.9788,0.004
628,2.9828,0.004
629,2.9868,-0.004
630,2.9908,0
631,2.9947,0
632,2.9987,-0.006
633,3.0051,0.002
634,3.0115,0.006
635,3.0179,-0.004
636,3.0243,0
637,3.0307,0
638,3.0347,-0.002
639,3.0386,-0.004
640,3.0426,-0.004
641,3.0466,0.002
642,3.0506,-0.004
643,3.0546,-0.004
644,3.0586,-0.002
645,3.0626,0.002
646,3.069,0
647,3.0754,-0.004
648,3.0817,0
649,3.0881,0
650,3.0945,-0.006
651,3.0998,-0.002
652,3.1051,-0.004
653,3.1104,-0.002
654,3.1157,0.004
655,3.121,0
656,3.1263,0
657,3.1316,0.002
658,3.137,0.004
659,3.1423,0
660,3.1463,0
661,3.1503,0
662,3.1543,0
663,3.1583,0.002
664,3.1623,-0.002
665,3.1663,-0.004
666,3.1703,-0.006
667,3.1743,0
668,3.1796,0.002
669,3.1849,0.006
670,3.1902,0.002
671,3.1956,0.006
672,3.2009,-0.002
673,3.2062,0.002
674,3.2115,-0.004
675,3.2169,0.004
676,3.2222,0
677,3.2262,0
678,3.2301,0
679,3.2341,0
680,3.2381,0.004
681,3.2421,0
682,3.2461,-0.004
683,3.25,0
684,3.254,0.004
685,3.258,0.004
686,3.262,0.002
687,3.2659,0
688,3.2699,-0.004
689,3.2739,0
690,3.2779,-0.002
691,3.2818,0
692,3.2858,0.004
693,3.2922,0
694,3.2986,0.008
695,3.305,0
696,3.3114,0
697,3.3178,0.006
698,3.3218,-0.004
699,3.3257,0.004
700,3.3297,0.002
701,3.3337,0.002
702,3.3377,-0.004
703,3.3416,-0.004
704,3.3456,0.002
705,3.3496,-0.002
706,3.3549,0.004
707,3.3603,-0.004
708,3.3657,-0.002
709,3.371,0
710,3.3764,0.008
711,3.3818,0.004
712,3.3857,0.004
713,3.3897,0
714,3.3936,0.002
715,3.3976,0.004
716,3.4016,0.008
717,3.4055,0
718,3.4095,0.006
719,3.4135,0.004
720,3.4198,-0.002
721,3.4262,0.004
722,3.4326,-0.01
723,3.439,0.004
724,3.4454,0.002
725,3.4502,0
726,3.455,-0.002
727,3.4597,-0.004
728,3.4645,-0.008
729,3.4693,0.002
730,3.4741,-0.002
731,3.4789,0.004
732,3.4837,0.004
733,3.4885,-0.004
734,3.4933,0
735,3.4978,0
736,3.5024,0
737,3.5069,-0.004
738,3.5115,0.004
739,3.516,0.008
740,3.5206,-0.002
741,3.5251,0.002
742,3.5304,-0.002
743,3.5357,0
744,3.5411,0
745,3.5464,0.004
746,3.5517,0
747,3.557,0
748,3.5623,-0.004
749,3.5677,0
750,3.573,0.004
751,3.577,0.004
752,3.581,0.006
753,3.5849,-0.002
754,3.5889,-0.002
755,3.5929,-0.002
756,3.5969,0.004
757,3.6009,0
758,3.6049,0
759,3.6101,0
760,3.6154,-0.004
761,3.6207,0
762,3.6259,-0.002
763,3.6312,0.008
764,3.6365,0
765,3.6417,0
766,3.647,-0.006
767,3.6522,0.002
768,3.6575,-0.002
769,3.6614,0
770,3.6653,0.002
771,3.6691,-0.004
772,3.673,0
773,3.6769,-0.004
774,3.6807,0.006
775,3.6846,0.002
776,3.6899,0.002
777,3.6953,0
778,3.7006,0
779,3.7059,-0.004
780,3.7112,0.004
781,3.7165,0
782,3.7218,0.002
783,3.7272,0.004
784,3.7325,-0.002
785,3.737,0
786,3.7416,-0.006
787,3.7462,-0.004
