Sample #,Relative Time[s],Flow [ml/min]
0,0.0053,0.002
1,0.0107,-0.002
2,0.016,-0.002
3,0.0206,-0.002
4,0.0251,0
5,0.0297,0.006
6,0.0342,0
7,0.0388,-0.004
8,0.0433,0.002
9,0.0479,0
10,0.0524,-0.006
11,0.057,0.006
12,0.0615,0.002
13,0.0661,0
14,0.0707,0
15,0.0752,0.006
16,0.0798,0.01
17,0.0845,-0.002
18,0.0893,-0.002
19,0.0941,0.01
20,0.0989,0
21,0.1037,0.002
22,0.1085,-0.002
23,0.1133,0.008
24,0.1181,0
25,0.1228,0.002
26,0.1276,0.002
27,0.1322,-0.004
28,0.1367,0.004
29,0.1413,0
30,0.1458,0
31,0.1504,0
32,0.155,0
33,0.1595,0
34,0.1641,0.004
35,0.1687,-0.004
36,0.1733,0.004
37,0.1778,0.004
38,0.1824,0.008
39,0.187,-0.006
40,0.1916,-0.004
41,0.1969,0
42,0.2022,0
43,0.2075,-0.002
44,0.2129,0
45,0.2182,0.002
46,0.2235,-0.004
47,0.2271,0.002
48,0.2306,-0.004
49,0.2341,0.004
50,0.2377,0
51,0.2412,-0.008
52,0.2448,0.004
53,0.2483,0.004
54,0.2519,0.002
55,0.2554,0.002
56,0.2618,-0.006
57,0.2681,0.002
58,0.2745,-0.006
59,0.2809,0
60,0.2873,0.002
61,0.2918,-0.002
62,0.2964,0.004
63,0.301,0
64,0.3055,0.002
65,0.3101,0
66,0.3147,0.002
67,0.3192,-0.002
68,0.3246,-0.002
69,0.3299,-0.002
70,0.3352,0.002
71,0.3405,0
72,0.3458,0.004
73,0.3511,0.008
74,0.3555,0.002
75,0.3599,-0.002
76,0.3642,0
77,0.3686,0.004
78,0.3729,-0.008
79,0.3773,0.002
80,0.3816,0.002
81,0.386,-0.002
82,0.3903,-0.002
83,0.3947,-0.004
84,0.399,0
85,0.4043,0.004
86,0.4097,-0.004
87,0.415,0
88,0.4203,-0.004
89,0.4256,0.004
90,0.4309,0.008
91,0.4349,0.004
92,0.4389,0.002
93,0.4428,-0.004
94,0.4468,-0.002
95,0.4508,0
96,0.4548,-0.002
97,0.4588,0.006
98,0.4627,-0.004
99,0.4691,-0.002
100,0.4755,-0.002
101,0.4819,0
102,0.4883,0.004
103,0.4947,0.002
104,0.4986,-0.002
105,0.5026,0
106,0.5066,0.004
107,0.5106,0
108,0.5146,0
109,0.5186,-0.01
110,0.5226,0
111,0.5266,-0.002
112,0.532,0.002
113,0.5373,-0.004
114,0.5427,0.006
115,0.5481,0.002
116,0.5534,-0.004
117,0.5588,0
118,0.5641,0.002
119,0.5694,0
120,0.5746,-0.004
121,0.5799,-0.002
122,0.5852,-0.002
