Sample #,Relative Time[s],Flow [ml/min]
0,0.0053,0
1,0.0106,0
2,0.016,-0.004
3,0.0205,0.004
4,0.025,-0.006
5,0.0296,0.004
6,0.0341,-0.002
7,0.0387,0
8,0.0432,-0.002
9,0.0478,-0.006
10,0.0523,-0.004
11,0.0569,-0.004
12,0.0614,0.002
13,0.066,0
14,0.0705,0.004
15,0.0751,0
16,0.0796,0
17,0.0844,0.002
18,0.0892,0
19,0.094,0.004
20,0.0988,0.002
21,0.1036,0
22,0.1084,-0.004
23,0.1132,-0.008
24,0.1179,0
25,0.1227,-0.006
26,0.1275,0.002
27,0.1321,-0.004
28,0.1367,-0.004
29,0.1412,-0.004
30,0.1458,0.004
31,0.1504,-0.002
32,0.155,0
33,0.1595,0.004
34,0.1641,0.008
35,0.1686,0.002
36,0.1732,0.002
37,0.1777,-0.004
38,0.1823,-0.004
39,0.1869,-0.01
40,0.1914,0
41,0.1967,0
42,0.202,-0.006
43,0.2073,-0.002
44,0.2126,0.004
45,0.218,-0.004
46,0.2233,-0.004
47,0.2281,0
48,0.2328,0.004
49,0.2376,0
50,0.2424,0.008
51,0.2472,0.004
52,0.252,-0.004
53,0.2568,0
54,0.2616,-0.004
55,0.2664,-0.004
56,0.2711,0
57,0.2757,-0.002
58,0.2803,-0.004
59,0.2848,0
60,0.2894,-0.008
61,0.294,-0.002
62,0.2985,-0.002
63,0.3031,0.002
64,0.3084,0.006
65,0.3137,0
66,0.319,0.002
67,0.3244,0
68,0.3297,-0.004
69,0.335,-0.006
70,0.3403,-0.004
71,0.3456,0
72,0.3509,0
73,0.3549,0.004
74,0.3589,-0.006
75,0.3629,0.004
76,0.3669,-0.004
77,0.3708,-0.006
78,0.3748,0.002
79,0.3788,0.006
80,0.3828,0
81,0.3881,0
82,0.3934,0
83,0.3987,-0.01
84,0.4041,0
85,0.4094,-0.004
86,0.4147,-0.002
87,0.42,0.002
88,0.4253,0
89,0.4307,-0.004
90,0.4352,-0.004
91,0.4398,0.004
92,0.4443,0
93,0.4489,-0.002
94,0.4535,0.004
95,0.458,0.006
96,0.4626,0.004
97,0.4662,0
98,0.4697,0
99,0.4732,-0.002
100,0.4768,0.004
101,0.4803,0.008
102,0.4839,0
103,0.4874,-0.004
104,0.491,0
105,0.4945,-0.01
106,0.5009,0
107,0.5072,-0.002
108,0.5135,0.01
109,0.5199,0.004
110,0.5262,0
111,0.5305,0.006
112,0.5349,-0.004
113,0.5393,0.004
114,0.5436,-0.002
115,0.548,-0.006
116,0.5523,-0.004
117,0.5567,0.004
118,0.561,-0.004
119,0.5654,0
120,0.5697,0
121,0.5741,0
122,0.5805,0
123,0.5869,0.002
124,0.5934,-0.002
125,0.5998,0.002
126,0.6062,0.004
127,0.6102,0.004
128,0.6141,0
129,0.6181,-0.006
130,0.6221,-0.002
131,0.6261,-0.01
132,0.6301,0
133,0.634,-0.008
134,0.638,0.002
135,0.6433,0.004
136,0.6487,-0.01
