Sample #,Relative Time[s],Flow [ml/min]
0,0.0053,0
1,0.0106,0
2,0.0159,0.008
3,0.0204,0.002
4,0.025,0
5,0.0296,0
6,0.0342,-0.002
7,0.0387,0
8,0.0433,-0.002
9,0.0479,0.008
10,0.0524,-0.002
11,0.057,0
12,0.0615,-0.002
13,0.0661,0.002
14,0.0706,0
15,0.0752,0.008
16,0.0797,0.002
17,0.085,0.002
18,0.0903,0.008
19,0.0957,0
20,0.101,-0.002
21,0.1063,0.006
22,0.1116,-0.002
23,0.1169,0
24,0.1222,0.006
25,0.1275,0.002
26,0.1315,0.004
27,0.1355,0.004
28,0.1395,0.002
29,0.1435,0
30,0.1475,0
31,0.1515,-0.002
32,0.1555,0.004
33,0.1595,0.008
34,0.1641,0
35,0.1686,-0.004
36,0.1732,0.004
37,0.1777,0.006
38,0.1823,-0.002
39,0.1869,0
40,0.1914,0.002
41,0.1967,-0.004
42,0.202,0.004
43,0.2074,0.004
44,0.2127,0.002
45,0.218,0
46,0.2233,0.01
47,0.2273,-0.004
48,0.2312,0.002
49,0.2352,-0.006
50,0.2392,0
51,0.2432,0.006
52,0.2471,0.002
53,0.2511,0.004
54,0.2551,-0.002
55,0.2615,0.002
56,0.2679,-0.002
57,0.2743,-0.006
58,0.2807,-0.004
59,0.2872,0
60,0.2907,-0.002
61,0.2942,0.004
62,0.2978,0
63,0.3013,0.004
64,0.3049,0
65,0.3084,0.002
66,0.3119,0.01
67,0.3155,0.004
68,0.319,-0.002
69,0.3254,0
70,0.3318,0
71,0.3382,-0.004
72,0.3446,0.002
73,0.3509,0
74,0.3555,0.002
75,0.3601,-0.008
76,0.3646,-0.002
77,0.3692,0
78,0.3737,0
79,0.3783,-0.002
80,0.3828,0.002
81,0.3881,0.002
82,0.3934,-0.002
83,0.3987,0
84,0.404,0.004
85,0.4093,-0.004
86,0.4146,0
87,0.4186,-0.006
88,0.4226,0
89,0.4266,0.004
90,0.4306,0
91,0.4345,0.002
92,0.4385,0
93,0.4425,0
94,0.4465,0
95,0.4518,0.006
96,0.4571,0
97,0.4625,0.004
98,0.4678,0.002
99,0.4731,0.006
100,0.4785,0.004
101,0.483,0.004
102,0.4876,0.002
103,0.4921,0
104,0.4967,-0.004
105,0.5012,0.004
106,0.5058,0.004
107,0.5103,0.002
108,0.5157,0.004
109,0.521,-0.004
110,0.5263,0.002
111,0.5316,0.002
112,0.5369,0.004
113,0.5422,-0.002
114,0.547,0
115,0.5518,0
116,0.5566,0
117,0.5613,0
118,0.5661,0
119,0.5709,0
120,0.5757,0.002
121,0.5805,0.002
122,0.5852,0.008
123,0.59,0
124,0.5946,-0.006
125,0.5992,0
126,0.6037,0.006
127,0.6083,0
128,0.6129,0.004
129,0.6174,0.004
130,0.622,0.002
131,0.626,0.012
132,0.63,0
133,0.6339,0
134,0.6379,0
135,0.6419,0.002
136,0.6458,0
137,0.6498,0
138,0.6538,0
139,0.6602,0.002
140,0.6666,0.004
