Reading,Load [N],Travel [mm],Time
1,0,0,0
2,-0.1,0,0.14
3,0,0,0.16
4,-0.1,0,0.201
5,-0.1,0,0.22
6,-0.1,0,0.241
7,-0.1,0,0.26
8,-0.1,0,0.3
9,-0.1,0,0.32
10,-0.1,0,0.34
11,-0.1,0,0.38
12,-0.1,0,0.4
13,-0.1,0,0.44
14,-0.1,0,0.46
15,-0.1,0,0.502
16,-0.1,0,0.52
17,-0.1,0,0.563
18,-0.1,0,0.58
19,-0.1,0,0.624
20,-0.1,0,0.64
21,-0.1,0,0.687
22,-0.1,0,0.7
23,-0.1,0,0.761
24,-0.1,0,0.78
25,-0.1,0,0.841
26,-0.1,0,0.86
27,-0.1,0,0.904
28,-0.1,0,0.92
29,-0.1,0,0.98
30,-0.1,0,1
31,0,0,1.046
32,0,0,1.06
33,0.1,0,1.106
34,0.1,0,1.12
35,0.2,0,1.181
36,0.2,0,1.2
37,0,0,1.661
38,0,0,1.68
39,0,0,1.781
40,0,0,1.8
41,0,0,1.9
42,0,0,1.921
43,0,0,2.004
44,0,0,2.02
45,0,0,2.103
46,0,0,2.121
47,0,0,2.205
48,0,0,2.22
49,0,0,2.32
50,0,0,2.34
51,0,0,2.441
52,0,0,2.46
53,1.3,-0.04,2.566
54,1.7,-0.06,2.581
55,1.3,-0.2,2.701
56,1.3,-0.22,2.721
57,1.6,-0.32,2.82
58,1.6,-0.34,2.84
59,1.9,-0.44,2.904
60,1.9,-0.44,2.921
61,2.1,-0.52,2.98
62,2.1,-0.54,3
63,2.1,-0.62,3.061
64,2.1,-0.62,3.08
65,2.2,-0.7,3.14
66,2.3,-0.72,3.161
67,2.3,-0.88,3.3
68,2.3,-0.9,3.32
69,2.3,-1,3.404
70,2.3,-1.04,3.42
71,2.3,-1.14,3.51
72,2.3,-1.16,3.521
73,2.1,-1.2,3.58
74,2.1,-1.24,3.6
75,2,-1.28,3.64
76,1.9,-1.28,3.66
77,1.9,-1.34,3.701
78,1.9,-1.38,3.72
79,1.8,-1.44,3.761
80,1.8,-1.44,3.78
81,1.8,-1.48,3.82
82,1.8,-1.52,3.841
83,1.7,-1.56,3.88
84,1.7,-1.6,3.9
85,1.7,-1.62,3.92
86,1.6,-1.66,3.961
87,1.6,-1.66,3.981
88,1.7,-1.8,4.08
89,1.7,-1.82,4.101
90,1.7,-1.9,4.18
91,1.7,-1.94,4.201
92,1.8,-2.02,4.28
93,1.8,-2.04,4.301
94,1.8,-2.14,4.368
95,1.8,-2.14,4.38
96,1.8,-2.2,4.44
97,1.8,-2.22,4.46
98,1.8,-2.32,4.54
99,1.8,-2.36,4.56
100,1.7,-2.46,4.64
101,1.6,-2.48,4.661
102,1.6,-2.56,4.74
103,1.5,-2.58,4.76
104,1.5,-2.66,4.826
105,1.5,-2.68,4.84
106,1.5,-2.76,4.901
107,1.5,-2.78,4.92
108,1.5,-2.86,4.987
109,1.5,-2.86,5
110,1.5,-2.96,5.08
111,1.5,-2.98,5.1
112,1.6,-3.06,5.165
113,1.5,-3.08,5.18
114,1.5,-3.14,5.241
115,1.5,-3.16,5.26
116,1.6,-3.26,5.34
117,1.6,-3.26,5.36
118,1.7,-3.36,5.44
119,1.7,-3.4,5.461
120,1.6,-3.5,5.54
121,1.6,-3.52,5.56
122,1.4,-3.62,5.641
123,1.3,-3.62,5.66
124,1.3,-3.72,5.727
125,1.2,-3.72,5.741
126,1.3,-3.82,5.82
127,1.3,-3.82,5.84
128,0.8,-3.92,5.909
129,0.8,-3.96,5.921
130,0.8,-4.02,5.98
131,0.8,-4.02,6
132,0.7,-4.14,6.08
133,0.7,-4.16,6.1
134,0.7,-4.24,6.18
135,0.6,-4.26,6.201
136,0.6,-4.36,6.28
137,0.6,-4.38,6.301
138,0.6,-4.48,6.38
139,0.6,-4.48,6.401
140,0.6,-4.58,6.48
141,0.6,-4.62,6.501
142,0.6,-4.72,6.58
143,0.6,-4.74,6.601
144,0.5,-4.84,6.68
145,0.5,-4.86,6.7
146,0.5,-4.94,6.78
147,0.4,-4.96,6.801
148,0.5,-5.06,6.88
149,0.4,-5.1,6.9
150,0.4,-5.18,6.98
151,0.4,-5.2,7
152,0.4,-5.3,7.08
153,0.3,-5.32,7.101
154,0.3,-5.4,7.181
155,0.2,-5.42,7.201
156,0.2,-5.52,7.281
157,0.2,-5.56,7.3
158,0.2,-5.66,7.38
159,0.2,-5.68,7.401
160,0.1,-5.76,7.481
161,0.1,-5.78,7.501
162,0.1,-5.88,7.582
163,0,-5.9,7.6
164,0,-6,7.68
165,0,-6.04,7.7
166,-0.1,-6.14,7.783
167,0,-6.14,7.801
168,0,-6.24,7.881
169,0,-6.26,7.9
170,0.1,-6.34,7.981
171,0.1,-6.36,8.001
172,0,-6.46,8.08
173,0.1,-6.5,8.1
174,0,-6.56,8.168
175,0,-6.6,8.181
176,0,-6.64,8.24
177,0,-6.68,8.26
178,-0.1,-6.78,8.34
179,-0.1,-6.8,8.36
180,-0.1,-6.9,8.444
181,-0.1,-6.9,8.46
182,-0.2,-7,8.541
183,-0.2,-7.02,8.56
