Reading,Load [N],Travel [mm],Time
1,0,0,0
2,0,0,0.208
3,0,0,0.3
4,0,0,0.321
5,0,0,0.404
6,0,0,0.421
7,0,0,0.48
8,0,0,0.5
9,0,0,0.545
10,0,0,0.56
11,0,0,0.608
12,0,0,0.621
13,0,0,0.68
14,0,0,0.701
15,0,0,0.761
16,0,0,0.78
17,0,0,0.84
18,0,0,0.86
19,0,0,0.92
20,0,0,0.94
21,0,0,1
22,0,0,1.021
23,0,0,1.08
24,0,0,1.101
25,0,0,1.16
26,0,0,1.18
27,0,0,1.241
28,0,0,1.261
29,1.2,-0.04,1.326
30,1.5,-0.04,1.341
31,1,-0.16,1.428
32,0.9,-0.16,1.441
33,1,-0.26,1.521
34,1,-0.26,1.54
35,0.9,-0.34,1.621
36,0.9,-0.4,1.64
37,0.9,-0.48,1.72
38,0.8,-0.5,1.74
39,0.8,-0.6,1.82
40,0.8,-0.62,1.84
41,0.8,-0.72,1.92
42,0.8,-0.72,1.94
43,0.8,-0.82,2.004
44,0.8,-0.82,2.02
45,0.8,-0.88,2.062
46,0.8,-0.9,2.08
47,0.8,-0.96,2.12
48,0.8,-0.96,2.14
49,0.7,-1.06,2.202
50,0.7,-1.06,2.22
51,0.7,-1.16,2.3
52,0.7,-1.18,2.32
53,0.7,-1.28,2.401
54,0.6,-1.28,2.42
55,0.6,-1.38,2.5
56,0.6,-1.42,2.52
57,0.5,-1.52,2.604
58,0.5,-1.54,2.621
59,0.4,-1.64,2.702
60,0.4,-1.66,2.72
61,0.4,-1.74,2.8
62,0.4,-1.76,2.82
63,0.4,-1.86,2.9
64,0.4,-1.9,2.92
65,0.4,-1.98,2.986
66,0.4,-2,3
67,0.4,-2.08,3.08
68,0.4,-2.1,3.101
69,0.4,-2.2,3.18
70,0.4,-2.22,3.2
71,0.4,-2.3,3.281
72,0.4,-2.32,3.301
73,0.4,-2.42,3.38
74,0.4,-2.42,3.401
75,0.4,-2.52,3.48
76,0.4,-2.56,3.5
77,0.4,-2.66,3.58
78,0.4,-2.68,3.6
79,0.4,-2.76,3.68
80,0.4,-2.78,3.7
81,0.5,-2.88,3.768
82,0.4,-2.88,3.78
83,0.3,-2.98,3.881
84,0.1,-3.04,3.901
85,0.1,-3.14,3.98
86,0.1,-3.14,4
87,0.1,-3.22,4.066
88,0,-3.24,4.081
89,0,-3.34,4.161
90,0,-3.34,4.18
91,0,-3.44,4.26
92,0,-3.46,4.28
93,0,-3.54,4.36
94,0,-3.6,4.381
95,0,-3.7,4.461
96,0,-3.7,4.481
97,0,-3.8,4.542
98,0,-3.8,4.56
99,0,-3.86,4.601
100,0,-3.88,4.62
101,0,-3.92,4.66
102,0,-3.92,4.68
103,-0.1,-3.98,4.72
104,-0.1,-4,4.741
105,-0.1,-4.08,4.786
106,-0.1,-4.08,4.801
107,-0.1,-4.16,4.846
108,-0.1,-4.16,4.86
109,-0.1,-4.2,4.904
110,-0.1,-4.24,4.92
