Reading,Load [N],Travel [mm],Time
1,0,0,0
2,0,0,0.18
3,0,0,0.199
4,0,0,0.22
5,0,0,0.239
6,0,0,0.259
7,0,0,0.28
8,0,0,0.3
9,0,0,0.32
10,0,0,0.34
11,0,0,0.359
12,0,0,0.379
13,0,0,0.4
14,0,0,0.42
15,0,0,0.439
16,0,0,0.459
17,0,0,0.48
18,0,0,0.499
19,0,0,0.544
20,0,0,0.559
21,0,0,0.601
22,0,0,0.619
23,0,0,0.64
24,0,0,0.659
25,0,0,0.679
26,0,0,0.699
27,0,0,0.739
28,0,0,0.759
29,0,0,0.78
30,0,0,0.799
31,0,0,0.819
32,0,0,0.839
33,0,0,0.859
34,0,0,0.879
35,0,0,0.9
36,0,0,0.919
37,0,0,0.939
38,0,0,0.959
39,0,0,0.98
40,0,0,0.999
41,0,0,1.019
42,0,0,1.04
43,0,0,1.06
44,0,0,1.079
45,0,0,1.106
46,0,0,1.119
47,0,0,1.159
48,0,0,1.179
49,0,0,1.2
50,0,0,1.24
51,0,0,1.259
52,0,0,1.299
53,0,0,1.319
54,0.7,-0.02,1.361
55,1.1,-0.04,1.38
56,2,-0.12,1.45
57,1.2,-0.14,1.462
58,0.8,-0.22,1.52
59,0.6,-0.22,1.539
60,0.5,-0.3,1.585
61,0.5,-0.3,1.599
62,0.4,-0.34,1.647
63,0.4,-0.38,1.659
64,0.4,-0.44,1.725
65,0.4,-0.48,1.739
66,0.3,-0.54,1.804
67,0.3,-0.54,1.82
68,0.3,-0.62,1.88
69,0.3,-0.66,1.899
70,0.3,-0.72,1.96
71,0.3,-0.72,1.979
72,0.2,-0.8,2.04
73,0.2,-0.82,2.06
74,0.3,-0.9,2.12
75,0.3,-0.92,2.139
76,0.2,-1,2.207
77,0.2,-1.04,2.219
78,0.3,-1.08,2.267
79,0.2,-1.1,2.279
80,0.2,-1.16,2.32
81,0.2,-1.16,2.339
82,0.2,-1.24,2.399
83,0.2,-1.26,2.419
84,0.2,-1.32,2.464
85,0.2,-1.32,2.479
86,0.2,-1.38,2.539
87,0.2,-1.42,2.561
88,0.2,-1.48,2.619
89,0.2,-1.48,2.639
90,0.2,-1.56,2.681
91,0.2,-1.56,2.699
92,0.2,-1.62,2.739
93,0.2,-1.64,2.759
94,0.2,-1.7,2.8
95,0.2,-1.72,2.82
96,0.2,-1.74,2.839
97,0.2,-1.76,2.859
98,0.2,-1.8,2.899
99,0.2,-1.82,2.919
100,0.2,-1.84,2.939
101,0.2,-1.9,2.98
102,0.2,-1.92,2.999
103,0.2,-1.94,3.027
104,0.2,-1.98,3.04
105,0.2,-2.02,3.079
106,0.2,-2.04,3.1
107,0.2,-2.1,3.139
108,0.1,-2.1,3.16
109,0.2,-2.14,3.179
110,0.1,-2.18,3.206
111,0.1,-2.2,3.219
112,0.1,-2.22,3.26
113,0.1,-2.26,3.279
114,0.1,-2.32,3.347
115,0.1,-2.36,3.359
116,0.1,-2.42,3.423
117,0.1,-2.42,3.439
118,0.1,-2.52,3.506
119,0.1,-2.6,3.585
120,0.1,-2.64,3.6
121,0.1,-2.74,3.681
122,0.2,-2.76,3.7
123,0.2,-2.86,3.799
124,0.1,-2.88,3.819
125,0.1,-2.96,3.885
126,0.1,-2.98,3.9
127,0.1,-3.06,3.96
128,0.2,-3.06,3.979
129,0.1,-3.16,4.061
130,0.1,-3.2,4.079
131,0.1,-3.22,4.119
132,0.1,-3.26,4.14
133,0.1,-3.26,4.159
134,0.1,-3.32,4.199
135,0.1,-3.34,4.219
136,0.1,-3.36,4.239
137,0.1,-3.42,4.267
138,0.1,-3.42,4.28
139,0.1,-3.46,4.319
140,0.1,-3.5,4.34
141,0.1,-3.52,4.36
142,0.1,-3.54,4.399
143,0.1,-3.58,4.42
144,0.1,-3.6,4.439
145,0.1,-3.64,4.466
146,0.1,-3.68,4.479
147,0.1,-3.7,4.519
148,0.1,-3.72,4.54
149,0.1,-3.78,4.581
150,0.1,-3.82,4.639
151,0.1,-3.86,4.659
152,0.1,-3.92,4.703
153,0.1,-3.92,4.719
154,0.1,-4,4.779
155,0.1,-4.02,4.799
156,0.1,-4.08,4.839
157,0.1,-4.1,4.859
158,0.1,-4.16,4.9
