Reading,Load [N],Travel [mm],Time
1,0,0,0
2,0,0,0.151
3,0,0,0.204
4,0,0,0.25
5,0,0,0.299
6,0,0,0.349
7,0,0,0.399
8,0,0,0.449
9,0,0,0.499
10,0,0,0.549
11,0,0,0.599
12,0,0,0.649
13,0,0,0.7
14,0,0,0.749
15,0,0,0.849
16,0,0,0.899
17,0,0,0.999
18,0,0,1.049
19,0,0,1.15
20,0,0,1.2
21,0,0,1.25
22,0,0,1.299
23,0,0,1.349
24,0,0,1.399
25,0,0,1.449
26,0,0,1.549
27,0,0,1.599
28,0,0,1.699
29,0,0,1.749
30,0,0,1.85
31,0,0,1.899
32,1.3,-0.02,1.999
33,3.6,-0.06,2.05
34,5.2,-0.16,2.107
35,5.1,-0.2,2.149
36,5,-0.24,2.199
37,5,-0.3,2.249
38,5.2,-0.34,2.299
39,5.2,-0.42,2.349
40,5.3,-0.48,2.399
41,5.4,-0.54,2.449
42,5,-0.68,2.549
43,4.9,-0.7,2.599
44,4.9,-0.78,2.649
45,4.6,-0.82,2.699
46,4.4,-0.98,2.799
47,4.3,-1,2.849
48,4.3,-1.06,2.899
49,4.2,-1.1,2.949
50,4.2,-1.24,3.001
51,4.2,-1.24,3.049
52,4.1,-1.28,3.099
53,4.1,-1.36,3.149
54,4,-1.42,3.199
55,4.1,-1.56,3.299
56,4.1,-1.6,3.349
57,4,-1.72,3.449
58,4,-1.76,3.499
59,3.9,-1.92,3.599
60,3.8,-1.94,3.649
61,3.7,-2.08,3.749
62,3.7,-2.1,3.799
63,3.8,-2.18,3.849
64,3.8,-2.22,3.899
65,3.9,-2.28,3.949
66,4,-2.36,3.999
67,4.1,-2.4,4.05
68,4.1,-2.48,4.099
69,4.1,-2.52,4.15
70,4,-2.58,4.199
71,4,-2.64,4.249
72,3.9,-2.76,4.305
73,3.9,-2.76,4.35
74,3.9,-2.8,4.399
75,3.9,-2.86,4.449
76,3.9,-2.94,4.499
77,4,-2.98,4.55
78,4,-3.04,4.599
79,4,-3.16,4.699
80,4,-3.22,4.749
81,4,-3.26,4.8
82,3.9,-3.42,4.899
83,3.9,-3.44,4.949
84,3.8,-3.54,4.999
85,3.8,-3.58,5.05
86,3.8,-3.62,5.099
87,3.8,-3.78,5.199
88,3.8,-3.8,5.249
89,3.6,-3.9,5.305
90,3.5,-3.92,5.349
91,3.4,-3.98,5.399
92,3.4,-4.02,5.449
93,3.4,-4.08,5.499
94,3.5,-4.2,5.599
95,3.5,-4.26,5.649
96,3.5,-4.36,5.7
97,3.6,-4.38,5.75
98,3.6,-4.44,5.799
99,3.5,-4.56,5.899
100,3.5,-4.62,5.949
101,3.5,-4.74,6.049
102,3.5,-4.8,6.099
103,3.3,-4.94,6.199
104,3.3,-4.96,6.249
105,3.4,-5.1,6.349
106,3.3,-5.14,6.399
107,3.4,-5.2,6.449
108,3.4,-5.24,6.5
109,3.3,-5.32,6.549
110,3.3,-5.38,6.599
111,3.3,-5.42,6.649
112,3.2,-5.58,6.749
113,3.2,-5.6,6.799
114,3.2,-5.76,6.899
115,3.2,-5.78,6.949
116,3.1,-5.9,7.005
117,3.1,-5.9,7.05
118,3.1,-5.96,7.099
119,3.1,-6,7.149
120,3.1,-6.08,7.199
121,3.2,-6.14,7.249
122,3.3,-6.32,7.399
123,3.3,-6.36,7.45
124,3.3,-6.52,7.55
125,3.2,-6.54,7.599
126,3.2,-6.6,7.649
127,3.2,-6.64,7.699
128,3.2,-6.8,7.799
129,3.2,-6.84,7.849
130,3.2,-6.9,7.899
131,3.2,-6.94,7.949
132,3.2,-7,7.999
133,3.2,-7.08,8.05
134,3.2,-7.2,8.149
135,3.2,-7.22,8.199
136,3.2,-7.3,8.249
137,3.1,-7.36,8.299
138,3.1,-7.4,8.349
139,3.1,-7.58,8.449
140,3.1,-7.6,8.499
141,3.1,-7.74,8.599
142,3.1,-7.76,8.649
143,3.1,-7.88,8.749
144,3,-7.94,8.799
145,3,-8.1,8.899
146,3,-8.12,8.95
147,3,-8.16,8.999
148,3,-8.22,9.049
149,3.1,-8.3,9.099
150,3.2,-8.34,9.151
151,3.2,-8.4,9.199
152,3.1,-8.48,9.249
153,3.2,-8.54,9.3
154,3.2,-8.58,9.349
155,3.1,-8.62,9.399
156,3.1,-8.7,9.45
157,3,-8.76,9.499
158,3,-8.8,9.549
159,3,-8.88,9.599
160,3,-8.94,9.649
161,3.1,-8.98,9.699
162,3.1,-9.06,9.749
163,3.1,-9.1,9.799
164,3,-9.24,9.899
165,3,-9.28,9.95
166,3,-9.34,10
