Reading,Load [N],Travel [mm],Time
1,0,0,0
2,0,0,0.103
3,0,0,0.12
4,0,0,0.14
5,0,0,0.16
6,0,0,0.18
7,0,0,0.206
8,0,0,0.22
9,0,0,0.26
10,0,0,0.28
11,0,0,0.3
12,0,0,0.32
13,0,0,0.36
14,0,0,0.38
15,0,0,0.42
16,0,0,0.44
17,0,0,0.48
18,0,0,0.5
19,0,0,0.54
20,0,0,0.56
21,0,0,0.6
22,0,0,0.62
23,0,0,0.66
24,0,0,0.68
25,0,0,0.801
26,0,0,0.82
27,0,0,0.94
28,0,0,0.96
29,0,0,1.044
30,0,0,1.06
31,0,0,1.14
32,0,0,1.161
33,0,0,1.224
34,0,0,1.24
35,0.5,-0.02,1.304
36,0.8,-0.02,1.32
37,4.8,-0.12,1.421
38,5.3,-0.16,1.44
39,5.1,-0.3,1.54
40,5.1,-0.3,1.56
41,5,-0.4,1.64
42,5,-0.42,1.66
43,5,-0.52,1.74
44,4.9,-0.54,1.76
45,4.8,-0.62,1.84
46,4.8,-0.66,1.86
47,4.7,-0.76,1.94
48,4.7,-0.78,1.96
49,4.6,-0.86,2.04
50,4.6,-0.88,2.06
51,4.6,-0.98,2.14
52,4.6,-1,2.16
53,4.6,-1.1,2.24
54,4.6,-1.1,2.26
55,4.6,-1.2,2.327
56,4.6,-1.2,2.34
57,4.5,-1.32,2.42
58,4.5,-1.34,2.44
59,4.4,-1.44,2.52
60,4.4,-1.44,2.54
61,4.4,-1.54,2.62
62,4.4,-1.56,2.64
63,4.4,-1.64,2.706
64,4.4,-1.66,2.72
65,4.4,-1.72,2.78
66,4.4,-1.74,2.8
67,4.3,-1.86,2.9
68,4.3,-1.9,2.92
69,4.4,-1.98,2.988
70,4.5,-2,3
71,4.5,-2.08,3.08
72,4.6,-2.1,3.1
73,4.6,-2.18,3.164
74,4.7,-2.2,3.181
75,4.7,-2.28,3.244
76,4.7,-2.28,3.26
77,4.7,-2.36,3.32
78,4.7,-2.38,3.341
79,4.7,-2.4,3.36
80,4.7,-2.42,3.38
81,4.6,-2.48,3.42
82,4.6,-2.5,3.44
83,4.6,-2.52,3.48
84,4.6,-2.56,3.5
85,4.5,-2.68,3.603
86,4.6,-2.7,3.621
87,4.6,-2.8,3.707
88,4.6,-2.84,3.722
89,4.6,-2.94,3.82
90,4.6,-2.96,3.84
91,4.6,-3.08,3.961
92,4.6,-3.12,3.98
93,4.5,-3.26,4.101
94,4.5,-3.3,4.121
95,4.6,-3.42,4.24
96,4.6,-3.44,4.26
