Reading,Load [N],Travel [mm],Time
1,-0.5,0,0
2,-0.4,0,0.166
3,-0.5,0,0.22
4,-0.5,0,0.238
5,-0.4,0,0.279
6,-0.4,0,0.298
7,-0.4,0,0.344
8,-0.4,0,0.359
9,-0.5,0,0.418
10,-0.5,0,0.439
11,-0.4,0,0.498
12,-0.4,0,0.518
13,-0.4,0,0.578
14,-0.4,0,0.599
15,-0.5,0,0.663
16,-0.4,0,0.678
17,-0.5,0,0.758
18,-0.5,0,0.779
19,-0.5,0,0.859
20,-0.5,0,0.878
21,-0.5,0,0.958
22,-0.5,0,0.979
23,-0.5,0,1.059
24,-0.5,0,1.078
25,-0.5,0,1.158
26,-0.5,0,1.178
27,-0.5,0,1.258
28,0,0,1.279
29,2,-0.22,1.458
30,2,-0.22,1.479
31,2.7,-0.38,1.598
32,2.8,-0.4,1.619
33,3.1,-0.54,1.74
34,3.1,-0.54,1.759
35,3.6,-0.72,1.9
36,3.6,-0.72,1.918
37,3.8,-0.88,2.038
38,3.8,-0.9,2.06
39,3.8,-1.06,2.178
40,3.8,-1.06,2.199
41,3.9,-1.16,2.278
42,3.9,-1.18,2.3
43,3.9,-1.36,2.446
44,3.9,-1.38,2.458
45,3.9,-1.48,2.558
46,3.9,-1.52,2.579
47,3.9,-1.62,2.662
48,4,-1.62,2.678
49,4,-1.74,2.778
50,4,-1.76,2.798
51,4,-1.86,2.881
52,4,-1.86,2.898
53,4,-1.94,2.96
54,4,-1.98,2.978
55,4,-2.08,3.064
56,4,-2.1,3.078
57,4,-2.18,3.146
58,4,-2.2,3.158
59,4,-2.26,3.219
60,3.9,-2.28,3.238
61,3.8,-2.38,3.32
62,3.8,-2.4,3.338
63,3.6,-2.5,3.423
64,3.6,-2.52,3.438
65,3.4,-2.64,3.538
66,3.4,-2.66,3.558
67,3.4,-2.76,3.643
68,3.4,-2.78,3.659
69,3.4,-2.88,3.742
70,3.4,-2.88,3.758
71,3.5,-3.02,3.858
72,3.5,-3.04,3.878
73,3.5,-3.16,3.981
74,3.5,-3.16,3.998
75,3.3,-3.3,4.099
76,3.3,-3.32,4.118
77,3.4,-3.44,4.228
78,3.3,-3.46,4.241
79,3.4,-3.58,4.342
80,3.4,-3.58,4.359
81,3.3,-3.7,4.464
82,3.3,-3.72,4.479
83,3.2,-3.82,4.578
84,3.2,-3.86,4.598
85,3.1,-3.98,4.682
86,3.1,-3.98,4.698
87,3,-4.08,4.798
88,3,-4.1,4.818
89,3,-4.18,4.878
90,3,-4.2,4.898
91,2.8,-4.36,5.038
92,2.8,-4.4,5.059
93,2.7,-4.54,5.162
94,2.7,-4.54,5.179
95,2.7,-4.66,5.278
96,2.7,-4.68,5.298
97,2.7,-4.76,5.378
98,2.7,-4.8,5.399
99,2.6,-4.92,5.499
100,2.5,-4.94,5.519
101,2.4,-5.02,5.598
102,2.4,-5.04,5.619
103,2.4,-5.1,5.658
104,2.4,-5.12,5.678
105,2.3,-5.18,5.722
106,2.2,-5.2,5.738
107,2.1,-5.24,5.786
108,2,-5.28,5.798
109,1.9,-5.32,5.858
110,1.9,-5.34,5.878
111,1.9,-5.4,5.92
112,2,-5.42,5.938
113,1.8,-5.48,5.983
114,1.8,-5.5,5.998
115,1.8,-5.56,6.045
116,1.8,-5.58,6.058
117,1.8,-5.62,6.118
118,1.8,-5.66,6.138
119,1.7,-5.76,6.238
120,1.7,-5.78,6.258
121,1.7,-5.88,6.326
122,1.7,-5.9,6.338
123,1.7,-5.96,6.399
124,1.6,-5.98,6.418
125,1.6,-6.06,6.484
126,1.7,-6.08,6.498
127,1.7,-6.16,6.578
128,1.7,-6.18,6.598
129,1.8,-6.28,6.664
130,1.7,-6.28,6.679
131,1.7,-6.36,6.738
132,1.7,-6.36,6.759
133,1.7,-6.46,6.822
134,1.7,-6.46,6.838
135,1.7,-6.56,6.918
136,1.7,-6.6,6.939
137,1.8,-6.7,7.019
138,1.8,-6.7,7.038
139,1.8,-6.8,7.107
140,1.8,-6.8,7.118
141,1.8,-6.9,7.198
142,1.7,-6.92,7.218
143,1.7,-7,7.28
144,1.6,-7.02,7.298
145,1.6,-7.08,7.338
146,1.6,-7.08,7.358
147,1.6,-7.18,7.439
148,1.5,-7.2,7.459
149,1.5,-7.34,7.559
150,1.5,-7.34,7.578
151,1.4,-7.46,7.68
152,1.4,-7.48,7.698
153,1.4,-7.6,7.799
154,1.4,-7.6,7.818
155,1.4,-7.68,7.887
156,1.4,-7.72,7.9
157,1.2,-7.82,7.978
158,1.2,-7.84,7.998
159,1.1,-7.92,8.078
160,1.1,-7.94,8.098
161,1,-8.02,8.159
162,1,-8.04,8.178
163,1,-8.1,8.218
164,1,-8.12,8.238
165,1,-8.16,8.286
166,0.9,-8.2,8.3
167,0.8,-8.24,8.36
168,0.8,-8.28,8.378
169,0.7,-8.34,8.438
170,,,
