Reading,Load [N],Travel [mm],Time
1,0.1,0,0
2,0.1,0,0.246
3,0.1,0,0.325
4,0.1,0,0.34
5,0.2,0,0.439
6,0.2,0,0.46
7,0.2,0,0.5
8,0.2,0,0.519
9,0.2,0,0.539
10,0.2,0,0.559
11,0.2,0,0.579
12,0.2,0,0.619
13,0.2,0,0.639
14,0.2,0,0.679
15,0.2,0,0.699
16,0.3,0,0.779
17,0.3,0,0.8
18,0.3,0,0.886
19,0.3,0,0.899
20,0.4,0,1.002
21,0.3,0,1.019
22,0,0,1.469
23,0,0,1.481
24,0.1,0,1.599
25,0.1,0,1.619
26,0,0,2.147
27,0,0,2.159
28,0,0,2.241
29,0,0,2.26
30,0,0,2.34
31,0,0,2.359
32,0,0,2.479
33,0,0,2.499
34,0,0,2.639
35,0,0,2.659
36,0,0,2.803
37,0,0,2.819
38,0,0,2.919
39,0,0,2.939
40,0,0,3.079
41,0,0,3.099
42,0,0,3.184
43,0,0,3.199
44,5.8,-0.12,3.379
45,3.9,-0.14,3.399
46,2.3,-0.3,3.54
47,2.4,-0.32,3.56
48,2.6,-0.54,3.74
49,2.7,-0.54,3.759
50,3,-0.72,3.899
51,3,-0.76,3.919
52,3.2,-0.88,4.02
53,3.2,-0.88,4.04
54,3.4,-1,4.14
55,3.4,-1.04,4.159
56,3.5,-1.18,4.279
57,3.6,-1.18,4.299
58,3.6,-1.28,4.379
59,3.6,-1.32,4.399
60,3.6,-1.44,4.499
61,3.7,-1.44,4.519
62,3.6,-1.56,4.603
63,3.6,-1.56,4.619
64,3.4,-1.66,4.705
65,3.3,-1.7,4.719
66,3.2,-1.8,4.82
67,3.2,-1.82,4.839
68,3.3,-1.92,4.939
69,3.3,-1.94,4.959
70,3.3,-2.08,5.041
71,3.2,-2.08,5.059
72,3.1,-2.2,5.16
73,3,-2.22,5.18
74,2.9,-2.32,5.279
75,2.8,-2.36,5.299
76,2.7,-2.4,5.344
77,2.7,-2.42,5.36
78,2.7,-2.5,5.419
79,2.6,-2.5,5.439
80,2.6,-2.58,5.499
81,2.6,-2.6,5.519
82,2.5,-2.66,5.565
83,2.4,-2.68,5.579
84,2.4,-2.76,5.639
85,2.4,-2.78,5.659
86,2.3,-2.84,5.709
87,2.3,-2.86,5.721
88,2.2,-2.92,5.779
89,2.2,-2.94,5.799
90,2,-2.98,5.846
91,2,-3.02,5.859
92,2,-3.08,5.923
93,1.9,-3.08,5.939
94,1.8,-3.16,5.999
95,1.8,-3.2,6.019
96,1.8,-3.26,6.079
97,1.8,-3.3,6.1
98,1.7,-3.36,6.16
99,1.7,-3.36,6.179
100,1.7,-3.44,6.225
101,1.7,-3.44,6.239
102,1.6,-3.52,6.299
103,1.6,-3.54,6.32
104,1.6,-3.68,6.423
105,1.6,-3.7,6.44
106,1.6,-3.8,6.539
107,1.6,-3.82,6.559
108,1.6,-3.92,6.641
109,1.5,-3.92,6.659
110,1.5,-4.02,6.739
111,1.5,-4.06,6.759
112,1.5,-4.16,6.842
113,1.6,-4.18,6.86
114,1.6,-4.26,6.939
115,1.6,-4.28,6.96
116,1.6,-4.38,7.039
117,1.6,-4.4,7.059
118,1.6,-4.48,7.139
119,1.6,-4.52,7.159
120,1.6,-4.58,7.219
121,1.5,-4.62,7.239
122,1.5,-4.68,7.285
123,1.5,-4.68,7.3
124,1.5,-4.74,7.36
125,1.5,-4.76,7.379
126,1.5,-4.92,7.499
127,1.4,-4.94,7.52
128,1.3,-5.1,7.643
129,1.3,-5.1,7.659
130,1.3,-5.2,7.744
131,1.3,-5.22,7.759
132,1.2,-5.32,7.843
133,1.1,-5.34,7.859
134,1.2,-5.46,7.943
135,1.2,-5.46,7.959
136,1.2,-5.56,8.04
137,1.1,-5.58,8.059
138,1.2,-5.74,8.183
139,1.2,-5.74,8.199
140,1.2,-5.86,8.283
141,1.2,-5.86,8.3
142,1.2,-5.9,8.36
143,1.2,-5.96,8.379
144,1.1,-6,8.439
145,1.1,-6.04,8.459
146,1.1,-6.08,8.499
147,1.1,-6.12,8.519
148,1.2,-6.18,8.584
149,1.2,-6.22,8.599
150,1.2,-6.28,8.679
151,1.2,-6.32,8.699
152,1.3,-6.36,8.739
153,1.3,-6.4,8.759
154,1.3,-6.44,8.799
155,1.4,-6.44,8.819
156,1.4,-6.5,8.859
157,1.3,-6.52,8.879
158,1.2,-6.56,8.919
159,1.3,-6.6,8.939
160,1.3,-6.64,8.98
161,1.3,-6.68,9
162,1.3,-6.72,9.039
163,1.3,-6.74,9.059
164,1.3,-6.88,9.16
165,1.3,-6.88,9.179
166,1.2,-6.98,9.264
167,1.2,-7,9.28
168,1.2,-7.12,9.379
169,1.2,-7.12,9.399
170,1.2,-7.26,9.484
171,1.2,-7.26,9.499
172,1.3,-7.36,9.587
173,1.3,-7.38,9.599
174,1.3,-7.44,9.659
175,1.3,-7.46,9.679
176,1.3,-7.56,9.759
177,1.3,-7.58,9.779
178,1.3,-7.68,9.86
179,1.3,-7.68,9.879
180,1.2,-7.78,9.947
181,1.2,-7.78,9.959
182,1.1,-7.86,10.007
183,1.1,-7.86,10.019
184,1,-7.92,10.079
185,1,-7.94,10.099
186,1,-8.06,10.199
187,1,-8.1,10.219
188,1,-8.24,10.36
189,1,-8.28,10.38
190,1,-8.42,10.507
191,1,-8.44,10.52
192,1.1,-8.54,10.62
193,1.1,-8.58,10.639
194,1.1,-8.68,10.723
195,1.2,-8.7,10.739
196,1.2,-8.78,10.799
197,1.2,-8.78,10.819
198,1.1,-8.88,10.879
199,1.1,-8.88,10.899
200,1,-8.96,10.967
201,1,-8.98,10.979
202,0.9,-9.06,11.039
203,0.9,-9.06,11.059
204,0.7,-9.16,11.122
205,0.7,-9.16,11.139
206,0.5,-9.24,11.201
207,0.5,-9.26,11.219
208,0.4,-9.34,11.287
209,0.4,-9.36,11.301
210,0.4,-9.42,11.359
211,0.4,-9.44,11.379
212,0.4,-9.48,11.419
213,0.4,-9.52,11.439
214,0.4,-9.56,11.499
215,0.3,-9.62,11.52
216,0.3,-9.7,11.599
217,0.3,-9.72,11.619
218,0.3,-9.82,11.699
219,0.3,-9.84,11.719
220,0.3,-9.92,11.783
221,0.3,-9.92,11.799
222,0.2,-10.02,11.879
223,0.2,-10.04,11.899
224,0.2,-10.14,11.979
225,0.2,-10.18,11.999
226,0.2,-10.26,12.079
227,0.2,-10.28,12.099
228,0.2,-10.38,12.168
229,0.2,-10.38,12.181
230,0.2,-10.46,12.259
231,0.2,-10.48,12.279
232,0.2,-10.56,12.339
233,0.3,-10.58,12.359
234,0.4,-10.66,12.422
235,0.4,-10.68,12.439
236,0.4,-10.74,12.481
237,0.4,-10.76,12.499
238,0.4,-10.84,12.58
239,0.4,-10.86,12.6
240,0.3,-10.94,12.68
241,0.3,-10.98,12.699
242,0.2,-11.06,12.779
243,0.2,-11.08,12.799
244,0.2,-11.2,12.879
245,0.2,-11.22,12.899
246,0.2,-11.32,12.979
247,0.2,-11.34,12.999
248,0.2,-11.44,13.087
249,0.2,-11.44,13.1
250,0.2,-11.58,13.199
251,0.2,-11.6,13.219
252,0.2,-11.7,13.299
253,0.2,-11.7,13.319
254,0.2,-11.8,13.399
255,0.2,-11.82,13.419
256,0.2,-11.9,13.479
257,0.2,-11.92,13.499
258,0.2,-11.98,13.54
259,0.2,-11.98,13.559
260,0.2,-12.02,13.601
261,0.2,-12.06,13.619
262,0.2,-12.1,13.66
263,0.2,-12.14,13.68
264,0.2,-12.26,13.779
265,0.2,-12.26,13.799
266,0.2,-12.38,13.907
267,0.1,-12.42,13.921
268,0.2,-12.48,13.999
269,0.2,-12.52,14.019
270,0.2,-12.62,14.099
271,0.2,-12.64,14.119
272,0.2,-12.72,14.18
273,0.2,-12.74,14.199
274,0.1,-12.82,14.262
275,0.1,-12.82,14.28
276,0,-12.92,14.342
277,0,-12.92,14.36
278,0,-12.96,14.406
279,0,-13,14.42
280,0,-13.1,14.52
281,0,-13.12,14.539
282,0,-13.24,14.623
283,0,-13.24,14.639
284,0,-13.32,14.699
285,0,-13.36,14.719
286,0,-13.42,14.779
287,0,-13.42,14.799
288,0,-13.5,14.86
289,0,-13.52,14.88
290,-0.1,-13.6,14.939
291,-0.1,-13.62,14.959
292,-0.1,-13.7,15.029
293,0,-13.74,15.041
294,0,-13.86,15.16
295,0,-13.88,15.179
296,-0.1,-13.98,15.262
297,-0.1,-13.98,15.279
298,-0.2,-14.06,15.339
299,-0.2,-14.08,15.359
300,-0.3,-14.18,15.439
301,-0.3,-14.22,15.459
302,-0.3,-14.26,15.519
303,-0.3,-14.3,15.539
304,-0.2,-14.42,15.641
305,-0.2,-14.44,15.659
306,-0.2,-14.52,15.727
307,-0.2,-14.54,15.741
308,-0.2,-14.62,15.82
309,-0.2,-14.64,15.839
310,-0.2,-14.78,15.939
311,-0.2,-14.8,15.96
312,-0.3,-14.9,16.047
313,-0.3,-14.92,16.061
314,-0.3,-15,16.139
315,-0.3,-15.02,16.159
316,-0.2,-15.18,16.299
317,-0.2,-15.22,16.319
318,-0.2,-15.36,16.44
319,-0.2,-15.38,16.46
320,-0.2,-15.5,16.56
321,-0.2,-15.5,16.579
322,-0.2,-15.58,16.627
323,-0.2,-15.58,16.64
324,-0.3,-15.68,16.727
325,-0.3,-15.72,16.743
326,-0.1,-15.78,16.804
327,-0.1,-15.78,16.82
328,0,-15.86,16.88
329,0.1,-15.9,16.9
330,0.2,-16,16.979
331,0.2,-16,16.999
332,0.2,-16.1,17.068
333,0.3,-16.12,17.081
334,0.4,-16.2,17.159
335,0.4,-16.22,17.179
336,0.5,-16.28,17.239
337,0.6,-16.3,17.26
338,0.8,-16.4,17.341
339,0.8,-16.42,17.359
340,0.8,-16.5,17.419
341,0.8,-16.5,17.439
342,0.4,-16.6,17.52
343,0.3,-16.62,17.539
344,0.1,-16.76,17.627
345,0.1,-16.78,17.641
346,-0.1,-16.86,17.719
347,-0.1,-16.86,17.739
348,-0.2,-16.96,17.823
349,-0.3,-16.98,17.839
350,-0.3,-17.06,17.907
351,-0.3,-17.08,17.923
352,-0.3,-17.18,18.001
353,-0.3,-17.18,18.019
354,-0.3,-17.28,18.099
355,-0.3,-17.32,18.119
356,-0.3,-17.42,18.199
357,-0.3,-17.44,18.219
358,-0.3,-17.5,18.28
359,-0.3,-17.52,18.299
360,-0.3,-17.6,18.36
361,-0.3,-17.62,18.379
362,-0.4,-17.7,18.439
363,-0.3,-17.72,18.459
364,-0.3,-17.8,18.524
365,-0.3,-17.8,18.539
366,-0.3,-17.88,18.605
367,-0.3,-17.9,18.619
368,-0.3,-17.98,18.699
369,-0.4,-18,18.719
370,-0.4,-18.08,18.781
371,-0.4,-18.1,18.799
372,-0.4,-18.18,18.86
373,-0.4,-18.2,18.879
374,-0.5,-18.32,18.979
375,-0.5,-18.32,18.999
376,-0.5,-18.46,19.102
377,-0.5,-18.48,19.119
378,-0.5,-18.56,19.185
379,-0.4,-18.56,19.199
380,-0.4,-18.64,19.259
381,-0.4,-18.66,19.279
382,-0.3,-18.76,19.359
383,-0.3,-18.78,19.379
384,-0.4,-18.88,19.462
385,-0.3,-18.88,19.479
386,-0.2,-18.98,19.559
387,-0.2,-19.02,19.579
388,-0.1,-19.06,19.639
389,-0.1,-19.12,19.659
390,-0.3,-19.22,19.739
391,-0.3,-19.22,19.76
392,-0.3,-19.32,19.845
393,-0.3,-19.34,19.86
394,-0.3,-19.42,19.939
395,-0.2,-19.44,19.959
396,-0.2,-19.52,20.022
397,-0.2,-19.54,20.039
398,-0.2,-19.62,20.099
399,-0.2,-19.64,20.119
400,-0.3,-19.78,20.229
401,-0.3,-19.8,20.243
402,-0.3,-19.88,20.305
403,-0.3,-19.88,20.319
404,-0.3,-19.92,20.38
405,-0.4,-19.98,20.399
406,-0.5,-20.06,20.479
407,-0.5,-20.08,20.499
408,-0.5,-20.2,20.599
409,-0.5,-20.24,20.619
410,-0.6,-20.28,20.679
411,-0.5,-20.3,20.699
412,-0.5,-20.44,20.8
413,-0.5,-20.46,20.82
414,-0.5,-20.56,20.92
415,-0.5,-20.58,20.939
