"Sample #","Relative Time[s]","Flow [ml/min]"
"0","0.0011","-0.012"
"1","0.0021","-0.002"
"2","0.0032","0.010"
"3","0.0043","0.020"
"4","0.0053","-0.014"
"5","0.0064","0.010"
"6","0.0075","-0.002"
"7","0.0085","0.010"
"8","0.0096","0.010"
"9","0.0107","-0.014"
"10","0.0117","-0.002"
"11","0.0128","-0.014"
"12","0.0138","-0.012"
"13","0.0149","0.010"
"14","0.0160","-0.024"
"15","0.0171","-0.002"
"16","0.0183","0.020"
"17","0.0194","0.020"
"18","0.0206","-0.002"
"19","0.0218","0.010"
"20","0.0229","0.010"
"21","0.0241","-0.012"
"22","0.0252","-0.002"
"23","0.0264","-0.002"
"24","0.0275","-0.002"
"25","0.0287","0.010"
"26","0.0299","0.020"
"27","0.0310","0.010"
"28","0.0322","0.010"
"29","0.0333","0.010"
"30","0.0345","-0.002"
"31","0.0356","0.010"
"32","0.0368","0.010"
"33","0.0379","-0.002"
"34","0.0391","0.010"
"35","0.0403","-0.002"
"36","0.0414","0.010"
"37","0.0426","-0.002"
"38","0.0437","-0.002"
"39","0.0449","-0.002"
"40","0.0460","0.010"
"41","0.0472","0.010"
"42","0.0484","0.010"
"43","0.0495","0.010"
"44","0.0507","-0.002"
"45","0.0518","0.020"
"46","0.0530","-0.014"
"47","0.0541","-0.014"
"48","0.0553","0.010"
"49","0.0565","-0.002"
"50","0.0576","-0.002"
"51","0.0588","0.010"
"52","0.0598","0.020"
"53","0.0608","-0.002"
"54","0.0618","0.010"
"55","0.0628","0.020"
"56","0.0638","0.010"
"57","0.0648","-0.012"
"58","0.0658","0.010"
"59","0.0669","-0.002"
"60","0.0679","-0.012"
"61","0.0689","-0.002"
"62","0.0699","-0.002"
"63","0.0709","0.020"
"64","0.0719","0.010"
"65","0.0729","-0.002"
"66","0.0739","-0.002"
"67","0.0750","-0.002"
"68","0.0760","0.010"
"69","0.0770","0.010"
"70","0.0780","0.010"
"71","0.0790","-0.012"
"72","0.0800","-0.002"
"73","0.0810","-0.002"
"74","0.0820","0.010"
"75","0.0831","-0.002"
"76","0.0841","-0.014"
"77","0.0851","-0.002"
"78","0.0861","-0.002"
"79","0.0871","-0.002"
"80","0.0881","0.010"
"81","0.0891","0.010"
"82","0.0901","-0.002"
