Sample #,Relative Time[s],Flow [ml/min]
0,0.0011,-0.002
1,0.0022,-0.014
2,0.0032,-0.002
3,0.0043,0.01
4,0.0054,0.01
5,0.0064,0.01
6,0.0075,-0.014
7,0.0086,-0.002
8,0.0096,0.01
9,0.0107,0.01
10,0.0118,0.01
11,0.0128,-0.002
12,0.0139,0.01
13,0.015,-0.002
14,0.0161,-0.002
15,0.0172,0.02
16,0.0183,-0.012
17,0.0194,-0.002
18,0.0206,0.01
19,0.0217,0.01
20,0.0228,-0.002
21,0.0239,0.02
22,0.0251,-0.002
23,0.0262,-0.002
24,0.0273,0.032
25,0.0284,-0.002
26,0.0296,-0.002
27,0.0307,-0.002
28,0.0318,-0.014
29,0.0329,-0.002
30,0.0341,-0.002
31,0.0352,0.02
32,0.0363,-0.002
33,0.0374,-0.002
34,0.0386,-0.012
35,0.0397,-0.002
36,0.0408,-0.002
37,0.0419,0.01
38,0.0431,-0.002
39,0.0442,0.01
40,0.0453,0.01
41,0.0464,0.01
42,0.0476,-0.002
43,0.0487,0.01
44,0.0498,-0.002
45,0.0509,0.01
46,0.0521,-0.002
47,0.0532,-0.002
48,0.0543,0.02
49,0.0554,0.02
50,0.0566,0.008
51,0.0577,-0.002
52,0.0588,0.01
53,0.0598,-0.012
54,0.0607,-0.014
55,0.0617,0.02
56,0.0627,0.01
57,0.0636,-0.014
58,0.0646,0.01
59,0.0655,-0.002
60,0.0665,0.01
61,0.0675,0.02
62,0.0684,0.02
63,0.0694,-0.002
64,0.0703,0.01
65,0.0713,-0.002
66,0.0723,-0.002
67,0.0732,-0.002
68,0.0742,-0.002
69,0.0752,0.02
70,0.0761,0.01
71,0.0771,-0.012
72,0.078,-0.012
73,0.079,0.02
74,0.08,0.02
75,0.0809,-0.002
76,0.0819,-0.002
77,0.0828,0.01
78,0.0838,-0.012
79,0.0848,-0.002
80,0.0857,-0.024
81,0.0867,0.01
82,0.0877,0.01
83,0.0886,-0.014
84,0.0896,-0.002
85,0.0905,-0.002
86,0.0915,0.01
87,0.0925,0.01
88,0.0934,-0.002
89,0.0944,-0.014
90,0.0953,-0.012
91,0.0963,-0.002
92,0.0973,-0.002
93,0.0982,0.01
94,0.0992,-0.012
95,0.1002,0.01
96,0.1011,0.01
97,0.1021,0.01
98,0.103,-0.002
99,0.104,-0.002
100,0.105,-0.024
101,0.1059,-0.002
102,0.1069,-0.012
103,0.1078,0.01
104,0.1088,-0.002
105,0.1098,-0.002
106,0.1107,0.01
107,0.1117,0.01
108,0.1127,-0.012
109,0.1137,-0.002
110,0.1147,0.01
111,0.1157,-0.002
112,0.1167,0.02
113,0.1177,0.01
114,0.1187,-0.002
115,0.1197,0.01
116,0.1207,0.01
117,0.1217,-0.002
118,0.1227,0.02
119,0.1237,0.02
120,0.1247,0.01
121,0.1256,0.01
122,0.1266,-0.002
123,0.1276,-0.002
124,0.1286,-0.002
125,0.1296,-0.002
126,0.1306,-0.002
127,0.1316,0.02
128,0.1326,0.01
129,0.1336,-0.002
130,0.1346,0.01
131,0.1356,0.01
132,0.1366,0.01
133,0.1376,-0.002
134,0.1386,-0.012
135,0.1396,-0.002
136,0.1406,-0.014
137,0.1416,-0.014
138,0.1426,-0.002
139,0.1436,-0.002
140,0.1446,-0.012
141,0.1456,-0.014
142,0.1466,-0.012
143,0.1476,0.03
144,0.1486,-0.012
145,0.1496,-0.012
146,0.1506,0.01
147,0.1516,-0.014
148,0.1526,0.01
149,0.1536,0.01
150,0.1546,0.01
151,0.1556,-0.012
152,0.1567,-0.002
153,0.1577,0.01
154,0.1588,-0.002
155,0.1599,-0.002
156,0.1609,0.01
157,0.162,0.01
158,0.163,0.01
159,0.1641,0.01
160,0.1652,0.01
161,0.1662,-0.002
162,0.1673,-0.002
163,0.1683,-0.002
164,0.1694,0.02
165,0.1705,0.01
166,0.1715,-0.014
167,0.1726,0.01
168,0.1736,-0.012
169,0.1747,-0.002
170,0.1758,0.032
171,0.1768,-0.002
172,0.1779,-0.012
173,0.1789,-0.012
174,0.18,-0.002
175,0.1811,-0.002
176,0.1821,-0.002
177,0.1832,0.01
178,0.1843,0.01
179,0.1853,-0.002
180,0.1864,0.01
181,0.1874,-0.002
182,0.1885,0.01
183,0.1896,0.01
184,0.1906,0.01
185,0.1917,0.01
186,0.1927,-0.012
187,0.1938,-0.012
188,0.1949,-0.002
189,0.1959,0.01
190,0.197,-0.002
191,0.198,-0.002
192,0.1991,0.01
193,0.2002,-0.002
194,0.2012,-0.002
195,0.2023,0.02
196,0.2033,0.01
197,0.2044,-0.002
198,0.2055,-0.002
199,0.2065,-0.002
200,0.2076,-0.014
201,0.2086,0.02
202,0.2097,0.01
203,0.2108,0.01
204,0.2118,-0.002
205,0.2129,0.008
206,0.2139,-0.012
207,0.215,0.02
208,0.2161,0.01
209,0.2171,0.01
210,0.2182,-0.002
211,0.2192,0.01
212,0.2203,-0.012
213,0.2212,-0.002
214,0.222,0.02
215,0.2229,0.01
216,0.2237,0.01
217,0.2246,-0.012
218,0.2255,0.01
219,0.2263,0.01
220,0.2272,0.02
221,0.228,0.01
222,0.2289,-0.002
223,0.2297,-0.002
224,0.2306,0.02
225,0.2315,0.01
226,0.2323,-0.002
227,0.2332,-0.002
228,0.234,-0.002
229,0.2349,0.01
230,0.2357,0.01
231,0.2366,0.02
232,0.2374,-0.002
233,0.2383,-0.012
234,0.2392,-0.002
235,0.24,0.01
236,0.2409,-0.002
237,0.2417,0.01
238,0.2426,-0.014
239,0.2434,-0.014
240,0.2443,0.02
241,0.2452,-0.014
242,0.246,-0.002
243,0.2469,0.02
244,0.2477,-0.002
245,0.2486,-0.002
246,0.2494,-0.014
247,0.2503,-0.002
248,0.2512,-0.002
249,0.252,0.01
250,0.2529,-0.002
251,0.2537,0.01
252,0.2546,0.01
253,0.2554,-0.014
254,0.2563,0.01
255,0.2571,-0.002
256,0.258,-0.014
257,0.2589,-0.014
258,0.2597,0.02
259,0.2606,-0.002
260,0.2614,0.01
261,0.2623,-0.002
262,0.2631,-0.002
263,0.2642,0.01
264,0.2652,-0.002
265,0.2662,-0.012
266,0.2672,-0.002
267,0.2682,-0.002
268,0.2693,0.01
269,0.2703,0.01
270,0.2713,-0.002
271,0.2723,-0.002
272,0.2733,-0.002
273,0.2744,0.01
274,0.2754,-0.014
275,0.2764,-0.014
276,0.2774,-0.002
277,0.2784,-0.002
278,0.2795,0.01
279,0.2805,-0.002
280,0.2815,-0.002
281,0.2825,0.01
282,0.2835,-0.002
283,0.2845,-0.002
284,0.2856,-0.002
285,0.2866,-0.002
286,0.2876,-0.002
287,0.2886,-0.014
288,0.2896,-0.024
289,0.2907,-0.002
290,0.2917,0.01
291,0.2927,0.01
292,0.2937,0.01
293,0.2947,-0.012
294,0.2958,-0.002
295,0.2968,-0.002
296,0.2978,-0.012
297,0.2988,-0.002
298,0.2998,-0.002
299,0.3009,-0.002
300,0.3019,-0.002
301,0.3029,0.02
302,0.3039,0.01
303,0.3049,-0.002
304,0.306,-0.002
305,0.307,-0.014
306,0.308,0.01
307,0.309,-0.002
308,0.31,-0.014
309,0.311,-0.002
310,0.3121,0.02
311,0.3131,-0.002
312,0.3141,-0.012
313,0.3151,-0.002
314,0.3161,-0.002
315,0.3171,-0.012
316,0.318,-0.014
317,0.3189,0.01
318,0.3198,0.01
319,0.3207,0.01
320,0.3216,0.02
321,0.3225,-0.002
322,0.3234,-0.002
323,0.3243,-0.002
324,0.3252,-0.002
325,0.3261,-0.012
326,0.327,0.01
327,0.3279,0.01
328,0.3288,0.01
329,0.3298,-0.012
330,0.3307,-0.012
331,0.3316,-0.002
332,0.3325,0.01
333,0.3334,0.01
334,0.3343,0.02
335,0.3352,-0.002
336,0.3361,-0.002
337,0.337,-0.002
338,0.3379,-0.002
339,0.3388,0.02
340,0.3397,-0.002
341,0.3406,0.01
342,0.3416,-0.012
343,0.3425,-0.002
344,0.3434,0.01
