Sample #,Relative Time[s],Flow [ml/min]
0,0.0011,0.01
1,0.0021,0.01
2,0.0032,-0.012
3,0.0043,-0.014
4,0.0053,0.01
5,0.0064,-0.014
6,0.0075,-0.002
7,0.0085,-0.002
8,0.0096,0.02
9,0.0107,0.01
10,0.0117,0.02
11,0.0128,-0.014
12,0.0139,-0.002
13,0.0149,0.01
14,0.016,-0.002
15,0.0171,-0.002
16,0.0183,-0.002
17,0.0194,0.02
18,0.0205,0.01
19,0.0216,0.02
20,0.0228,-0.002
21,0.0239,-0.002
22,0.025,0.01
23,0.0261,0.01
24,0.0273,0.02
25,0.0284,0.02
26,0.0295,0.01
27,0.0306,0.01
28,0.0318,-0.002
29,0.0329,-0.014
30,0.034,0.01
31,0.0351,0.01
32,0.0363,0.01
33,0.0374,0.01
34,0.0385,-0.002
35,0.0396,0.01
36,0.0408,-0.014
37,0.0419,-0.002
38,0.043,-0.014
39,0.0442,0.01
40,0.0453,-0.002
41,0.0464,0.01
42,0.0475,0.02
43,0.0487,0.01
44,0.0498,-0.002
45,0.0509,-0.002
46,0.052,0.01
47,0.0532,-0.002
48,0.0543,-0.012
49,0.0554,-0.002
50,0.0565,0.03
51,0.0577,-0.002
52,0.0588,0.01
53,0.0598,-0.002
54,0.0608,0.02
55,0.0618,0.01
56,0.0628,0.02
57,0.0638,-0.002
58,0.0648,0.01
59,0.0658,0.01
60,0.0668,-0.002
61,0.0678,-0.002
62,0.0688,-0.002
63,0.0698,0.01
64,0.0707,-0.002
65,0.0717,0.02
66,0.0727,-0.002
67,0.0737,-0.002
68,0.0747,-0.002
69,0.0757,-0.002
70,0.0767,-0.002
71,0.0777,0.02
72,0.0787,0.01
73,0.0797,0.01
74,0.0807,0.01
75,0.0817,-0.002
76,0.0827,0.01
77,0.0837,0.01
78,0.0847,0.01
79,0.0857,-0.002
80,0.0867,0.01
81,0.0877,-0.002
82,0.0887,-0.002
83,0.0897,-0.012
84,0.0907,-0.012
85,0.0917,-0.002
86,0.0927,-0.002
87,0.0937,-0.002
88,0.0947,-0.002
89,0.0957,-0.002
90,0.0967,-0.002
91,0.0976,0.01
92,0.0986,-0.002
93,0.0996,-0.002
94,0.1006,-0.002
95,0.1016,-0.002
96,0.1026,-0.014
97,0.1036,-0.014
98,0.1046,0.01
99,0.1056,0.02
100,0.1065,-0.002
101,0.1075,0.02
102,0.1084,-0.012
103,0.1094,0.02
104,0.1103,-0.002
105,0.1113,-0.002
106,0.1122,0.032
107,0.1132,0.01
108,0.1141,-0.002
109,0.1151,-0.002
110,0.116,0.01
111,0.117,-0.002
112,0.1179,-0.002
113,0.1189,0.01
114,0.1199,0.01
115,0.1208,-0.012
116,0.1218,0.01
117,0.1227,-0.002
118,0.1237,0.01
119,0.1246,-0.002
120,0.1256,-0.002
121,0.1265,0.02
122,0.1275,-0.002
123,0.1284,0.01
124,0.1294,-0.002
125,0.1303,-0.014
126,0.1313,-0.002
127,0.1322,0.01
128,0.1332,-0.002
129,0.1341,-0.002
130,0.1351,0.01
131,0.136,-0.002
132,0.137,0.01
133,0.1379,-0.002
134,0.1389,0.01
135,0.1398,0.01
136,0.1408,-0.002
137,0.1417,0.01
138,0.1427,-0.002
139,0.1436,0.01
140,0.1446,-0.002
141,0.1455,-0.012
142,0.1465,0.02
143,0.1475,0.01
144,0.1484,-0.002
145,0.1494,-0.014
146,0.1503,0.01
147,0.1513,0.01
148,0.1522,0.02
149,0.1532,-0.014
150,0.1542,-0.012
151,0.1551,-0.002
152,0.1561,-0.002
153,0.157,-0.002
154,0.158,-0.002
155,0.1589,0.01
156,0.1599,-0.014
157,0.1609,-0.002
158,0.1618,0.02
159,0.1628,-0.002
160,0.1637,0.01
161,0.1647,0.01
162,0.1657,0.01
163,0.1666,0.01
164,0.1676,0.02
165,0.1685,-0.002
166,0.1695,-0.014
167,0.1704,-0.012
168,0.1714,-0.014
169,0.1724,-0.002
170,0.1733,0.01
171,0.1743,0.02
172,0.1752,-0.002
173,0.1762,0.02
174,0.1771,0.01
175,0.1781,0.01
176,0.1791,0.01
177,0.18,-0.002
178,0.181,0.02
179,0.1819,-0.002
180,0.1829,0.01
181,0.1839,0.01
182,0.1848,-0.002
183,0.1858,-0.002
184,0.1867,0.01
185,0.1877,-0.014
186,0.1886,-0.014
187,0.1896,0.01
188,0.1906,-0.012
189,0.1915,-0.002
190,0.1925,0.01
191,0.1934,-0.014
192,0.1944,-0.002
193,0.1954,0.01
194,0.1964,0.032
195,0.1973,-0.002
196,0.1983,0.01
197,0.1993,0.01
198,0.2002,0.01
199,0.2012,0.01
200,0.2022,0.01
201,0.2032,0.01
202,0.2041,0.01
203,0.2051,0.01
204,0.2061,-0.002
205,0.207,-0.002
206,0.208,-0.002
207,0.209,-0.002
208,0.21,-0.002
209,0.2109,-0.002
210,0.2119,-0.012
211,0.2129,-0.002
212,0.2138,0.01
213,0.2148,0.02
214,0.2158,0.02
215,0.2168,-0.002
216,0.2177,-0.002
217,0.2187,0.01
218,0.2197,-0.002
219,0.2206,0.02
220,0.2216,-0.002
221,0.2226,-0.012
222,0.2235,-0.014
223,0.2245,-0.002
224,0.2255,-0.002
225,0.2265,0.01
226,0.2274,-0.002
227,0.2284,-0.002
228,0.2294,0.01
229,0.2303,-0.002
230,0.2313,-0.002
231,0.2323,0.01
232,0.2333,-0.002
233,0.2342,0.01
234,0.2352,-0.002
235,0.2362,-0.002
236,0.2372,-0.002
237,0.2381,0.01
238,0.2391,-0.014
239,0.2401,-0.014
240,0.2411,0.01
241,0.2421,-0.002
242,0.243,-0.002
243,0.244,0.01
244,0.245,-0.002
245,0.246,-0.012
