Sample #,Relative Time[s],Flow [ml/min]
0,0.0012,0.01
1,0.0023,-0.012
2,0.0035,0.01
3,0.0046,-0.024
4,0.0057,0.01
5,0.0069,0.01
6,0.008,-0.012
7,0.0092,-0.012
8,0.0103,0.01
9,0.0115,-0.002
10,0.0126,-0.014
11,0.0138,-0.012
12,0.0149,-0.012
13,0.016,0.01
14,0.0171,0.01
15,0.0183,0.01
16,0.0194,-0.012
17,0.0205,0.01
18,0.0216,0.01
19,0.0227,-0.014
20,0.0238,-0.002
21,0.0249,0.01
22,0.026,-0.002
23,0.0271,0.02
24,0.0282,-0.002
25,0.0293,-0.002
26,0.0304,-0.012
27,0.0315,-0.024
28,0.0326,-0.012
29,0.0337,0.01
30,0.0348,0.01
31,0.0359,0.01
32,0.037,0.01
33,0.0381,-0.002
34,0.0392,0.01
35,0.0403,0.02
36,0.0414,0.01
37,0.0425,-0.002
38,0.0436,0.01
39,0.0447,0.01
40,0.0458,0.01
41,0.0469,0.02
42,0.048,-0.002
43,0.0491,0.01
44,0.0502,-0.002
45,0.0513,0.01
46,0.0524,-0.002
47,0.0535,-0.002
48,0.0546,-0.002
49,0.0557,0.01
50,0.0568,-0.002
51,0.0579,-0.012
52,0.059,0.01
53,0.06,-0.012
54,0.0611,0.01
55,0.0622,0.01
56,0.0632,-0.002
57,0.0643,0.01
58,0.0653,0.02
59,0.0664,0.01
60,0.0674,0.01
61,0.0685,-0.002
62,0.0696,0.01
63,0.0706,-0.002
64,0.0717,-0.012
65,0.0727,0.01
66,0.0738,0.02
67,0.0748,-0.002
68,0.0759,-0.002
69,0.077,-0.002
70,0.078,0.01
71,0.0791,-0.012
72,0.0801,0.01
73,0.0812,-0.014
74,0.0822,-0.012
75,0.0833,0.01
76,0.0844,-0.002
77,0.0854,-0.002
78,0.0865,-0.002
79,0.0875,-0.002
80,0.0886,-0.014
81,0.0896,-0.002
82,0.0907,-0.002
83,0.0918,-0.002
84,0.0928,0.01
85,0.0939,-0.024
86,0.0949,-0.002
87,0.096,0.01
88,0.097,0.01
89,0.0981,0.01
90,0.0992,0.01
91,0.1002,0.01
92,0.1013,-0.002
93,0.1023,0.01
94,0.1034,-0.002
95,0.1044,-0.002
96,0.1055,-0.002
97,0.1066,0.02
98,0.1076,-0.012
99,0.1087,0.02
100,0.1097,0.01
101,0.1108,-0.012
102,0.1117,0.01
103,0.1125,-0.024
104,0.1134,-0.002
105,0.1143,-0.002
106,0.1152,-0.002
107,0.116,0.01
108,0.1169,0.01
109,0.1178,-0.012
110,0.1186,-0.014
111,0.1195,0.01
112,0.1204,-0.014
113,0.1213,0.01
114,0.1221,-0.002
115,0.123,0.01
116,0.1239,0.01
117,0.1248,-0.002
118,0.1256,-0.002
119,0.1265,-0.002
120,0.1274,-0.002
121,0.1282,0.01
122,0.1291,0.01
123,0.13,-0.002
124,0.1309,0.01
125,0.1317,0.01
126,0.1326,0.01
127,0.1335,-0.012
128,0.1344,0.02
129,0.1352,0.01
130,0.1361,-0.002
131,0.137,-0.002
132,0.1378,0.01
133,0.1387,0.01
134,0.1396,-0.002
135,0.1405,0.01
136,0.1413,-0.012
137,0.1422,0.01
138,0.1431,-0.002
139,0.144,-0.002
140,0.1448,0.01
141,0.1457,-0.002
142,0.1466,-0.002
143,0.1474,-0.002
144,0.1483,0.02
145,0.1492,0.01
146,0.1501,0.01
147,0.1509,0.02
148,0.1518,-0.012
149,0.1527,0.01
150,0.1537,-0.014
151,0.1547,0.02
152,0.1557,-0.002
153,0.1567,-0.002
154,0.1578,0.02
155,0.1588,-0.002
156,0.1598,-0.014
157,0.1608,0.02
158,0.1618,-0.012
159,0.1628,0.01
160,0.1639,-0.024
161,0.1649,-0.012
162,0.1659,0.01
163,0.1669,-0.002
164,0.1679,-0.002
165,0.1689,-0.002
166,0.1699,-0.014
167,0.171,0.02
168,0.172,0.01
169,0.173,0.01
170,0.174,0.02
171,0.175,-0.012
172,0.176,0.01
173,0.177,-0.002
174,0.1781,0.01
175,0.1791,0.01
176,0.1801,-0.002
177,0.1811,-0.002
178,0.1821,0.01
179,0.1831,0.01
180,0.1841,0.01
181,0.1852,0.01
182,0.1862,0.01
183,0.1872,-0.024
184,0.1882,-0.002
185,0.1892,-0.002
186,0.1902,-0.012
187,0.1913,-0.002
188,0.1923,-0.002
189,0.1933,0.01
190,0.1943,0.01
191,0.1953,-0.002
192,0.1963,0.01
193,0.1973,-0.002
194,0.1984,-0.002
195,0.1994,0.01
196,0.2004,0.01
197,0.2014,0.01
198,0.2024,0.01
199,0.2034,-0.002
200,0.2044,-0.002
201,0.2055,0.02
202,0.2064,-0.012
203,0.2073,0.032
204,0.2083,0.02
205,0.2092,0.032
206,0.2101,0.01
207,0.211,0.01
208,0.212,0.01
209,0.2129,-0.002
210,0.2138,0.01
211,0.2148,0.01
212,0.2157,-0.012
213,0.2166,0.01
214,0.2175,0.02
215,0.2185,-0.002
216,0.2194,0.02
217,0.2203,0.01
218,0.2213,-0.002
219,0.2222,-0.002
220,0.2231,0.01
221,0.2241,-0.002
222,0.225,0.01
223,0.2259,0.02
224,0.2268,0.01
225,0.2278,0.01
226,0.2287,-0.024
227,0.2296,-0.002
228,0.2306,0.01
229,0.2315,-0.002
230,0.2324,-0.002
231,0.2334,0.02
232,0.2343,0.01
233,0.2352,0.01
234,0.2361,0.01
235,0.2371,-0.014
236,0.238,0.01
237,0.2389,-0.002
238,0.2399,0.01
239,0.2408,0.01
240,0.2417,-0.002
241,0.2427,-0.012
242,0.2436,-0.002
243,0.2445,0.01
244,0.2454,0.02
245,0.2464,-0.002
246,0.2473,0.01
247,0.2483,-0.014
248,0.2494,-0.002
249,0.2504,-0.002
250,0.2514,0.01
251,0.2525,0.01
252,0.2535,-0.002
253,0.2545,-0.002
254,0.2556,-0.002
255,0.2566,-0.014
256,0.2576,-0.002
257,0.2587,0.02
258,0.2597,-0.012
259,0.2608,-0.002
260,0.2618,-0.012
261,0.2628,-0.002
262,0.2639,-0.002
263,0.2649,-0.014
264,0.2659,0.01
265,0.267,-0.002
266,0.268,-0.012
267,0.269,0.02
268,0.2701,-0.002
269,0.2711,-0.002
270,0.2721,-0.012
271,0.2732,-0.014
272,0.2742,0.02
273,0.2752,-0.002
274,0.2763,0.01
