Sample #,Relative Time[s],Flow [ml/min]
0,0.0011,0.01
1,0.0021,0.01
2,0.0032,0.02
3,0.0043,-0.014
4,0.0053,-0.002
5,0.0064,-0.014
6,0.0075,-0.002
7,0.0085,-0.002
8,0.0096,0.01
9,0.0107,-0.002
10,0.0117,-0.002
11,0.0128,0.01
12,0.0139,0.01
13,0.0149,0.01
14,0.016,-0.002
15,0.0171,0.01
16,0.0183,-0.014
17,0.0194,-0.002
18,0.0205,0.01
19,0.0217,-0.002
20,0.0228,0.01
21,0.0239,0.01
22,0.0251,0.02
23,0.0262,-0.002
24,0.0273,0.01
25,0.0285,0.01
26,0.0296,0.01
27,0.0307,-0.002
28,0.0319,-0.024
29,0.033,-0.002
30,0.0341,0.02
31,0.0353,0.01
32,0.0364,0.01
33,0.0375,0.02
34,0.0387,0.032
35,0.0398,-0.002
36,0.0409,0.02
37,0.0421,0.01
38,0.0432,0.01
39,0.0443,-0.012
40,0.0455,-0.002
41,0.0466,0.01
42,0.0477,0.01
43,0.0489,0.02
44,0.05,0.02
45,0.0511,0.01
46,0.0523,-0.002
47,0.0534,0.01
48,0.0546,-0.014
49,0.0557,-0.002
50,0.0568,0.01
51,0.058,-0.002
52,0.059,-0.002
53,0.06,0.01
54,0.061,0.02
55,0.062,-0.002
56,0.063,-0.002
57,0.064,0.01
58,0.065,-0.002
59,0.0661,0.01
60,0.0671,-0.014
61,0.0681,-0.002
62,0.0691,-0.012
63,0.0701,-0.002
64,0.0711,0.01
65,0.0721,0.01
66,0.0732,-0.012
67,0.0742,-0.002
68,0.0752,-0.002
69,0.0762,-0.002
70,0.0772,0.01
71,0.0782,-0.012
72,0.0792,0.01
73,0.0802,-0.002
74,0.0813,-0.002
75,0.0823,-0.002
76,0.0833,-0.012
77,0.0843,-0.002
78,0.0853,0.01
79,0.0863,-0.002
80,0.0873,-0.002
81,0.0884,-0.012
82,0.0894,-0.014
83,0.0904,0.01
84,0.0914,0.01
85,0.0924,0.01
86,0.0934,0.01
87,0.0944,-0.002
88,0.0954,-0.012
89,0.0965,0.01
90,0.0975,-0.012
91,0.0985,0.01
92,0.0995,0.01
93,0.1005,-0.002
94,0.1015,-0.002
95,0.1025,-0.002
96,0.1036,0.02
97,0.1046,-0.002
98,0.1056,0.01
99,0.1066,0.01
100,0.1076,0.01
101,0.1086,-0.012
102,0.1096,-0.002
103,0.1107,0.01
104,0.1116,-0.002
105,0.1125,-0.002
106,0.1134,0.01
107,0.1143,-0.014
108,0.1152,0.02
109,0.1161,-0.002
110,0.117,0.01
111,0.1179,0.01
112,0.1189,-0.012
113,0.1198,0.01
114,0.1207,-0.002
115,0.1216,0.01
116,0.1225,0.01
117,0.1234,0.01
118,0.1243,0.01
119,0.1252,-0.002
120,0.1262,-0.002
121,0.1271,0.01
122,0.128,0.01
123,0.1289,-0.014
124,0.1298,0.01
125,0.1307,0.01
126,0.1316,-0.002
127,0.1325,0.01
128,0.1335,0.01
129,0.1344,-0.002
130,0.1353,0.01
131,0.1362,-0.002
132,0.1371,-0.002
133,0.138,-0.002
134,0.1389,0.01
135,0.1398,-0.014
136,0.1407,0.01
137,0.1417,-0.002
138,0.1426,0.01
139,0.1435,0.01
140,0.1444,-0.012
141,0.1453,0.01
142,0.1462,-0.024
143,0.1471,0.01
144,0.148,-0.002
145,0.149,-0.024
146,0.1499,-0.002
147,0.1508,0.01
148,0.1517,0.02
149,0.1526,-0.012
150,0.1536,0.01
151,0.1546,0.01
152,0.1555,-0.024
153,0.1565,0.01
154,0.1575,-0.012
155,0.1585,0.01
156,0.1595,-0.002
157,0.1604,0.02
158,0.1614,0.02
159,0.1624,-0.002
160,0.1634,0.032
161,0.1644,0.02
162,0.1653,0.01
163,0.1663,-0.002
164,0.1673,-0.002
165,0.1683,-0.002
166,0.1693,0.02
167,0.1702,0.02
168,0.1712,0.01
169,0.1722,0.01
170,0.1732,0.01
171,0.1742,0.01
172,0.1751,-0.002
173,0.1761,0.01
174,0.1771,-0.002
175,0.1781,0.01
176,0.1791,0.01
177,0.18,0.01
178,0.181,-0.014
179,0.182,-0.002
180,0.183,0.01
181,0.184,-0.012
182,0.1849,-0.002
183,0.1859,0.01
184,0.1869,0.01
185,0.1879,0.01
186,0.1889,-0.002
187,0.1898,-0.036
188,0.1908,-0.002
189,0.1918,0.01
190,0.1928,-0.014
191,0.1938,-0.002
192,0.1947,0.01
193,0.1957,-0.012
194,0.1967,0.01
195,0.1977,0.02
196,0.1986,-0.002
197,0.1996,0.01
198,0.2006,-0.012
199,0.2016,0.02
200,0.2026,-0.012
201,0.2035,0.01
202,0.2045,0.01
203,0.2055,0.01
204,0.2065,-0.002
205,0.2075,0.01
206,0.2084,0.01
207,0.2094,-0.002
208,0.2104,-0.002
209,0.2114,-0.002
210,0.2123,-0.002
211,0.2133,0.01
212,0.2143,0.01
213,0.2153,-0.002
214,0.2162,0.01
215,0.2172,0.02
216,0.2182,0.01
217,0.2192,-0.002
218,0.2201,-0.014
219,0.2211,0.02
220,0.2221,-0.002
221,0.2231,-0.012
222,0.224,-0.002
223,0.225,-0.002
224,0.226,0.02
225,0.227,-0.002
226,0.2279,0.01
227,0.2289,-0.012
228,0.2299,-0.014
229,0.2309,-0.002
230,0.2318,-0.002
231,0.2328,-0.012
232,0.2338,0.02
233,0.2347,-0.014
234,0.2357,-0.002
235,0.2367,-0.012
236,0.2377,0.02
237,0.2386,0.01
238,0.2396,0.01
239,0.2406,-0.002
240,0.2416,0.01
241,0.2425,0.01
242,0.2435,-0.002
243,0.2445,0.02
244,0.2455,-0.002
245,0.2464,0.042
246,0.2474,-0.014
247,0.2484,-0.002
