Sample #,Relative Time[s],Flow [ml/min]
0,0.0049,-0.002
1,0.0054,-0.002
2,0.0059,-0.014
3,0.0064,-0.012
4,0.0068,0.01
5,0.0073,-0.002
6,0.0078,-0.002
7,0.0083,-0.002
8,0.0088,-0.002
9,0.0092,0.01
10,0.0097,-0.002
11,0.0102,-0.002
12,0.0107,-0.002
13,0.0112,0.01
14,0.0116,-0.014
15,0.0121,0.02
16,0.0126,-0.002
17,0.0131,0.01
18,0.0136,-0.012
19,0.014,-0.014
20,0.0145,0.02
21,0.015,0.01
22,0.0164,-0.002
23,0.0178,-0.002
24,0.0192,0.01
25,0.0205,-0.002
26,0.0219,0.01
27,0.0233,-0.002
28,0.0247,0.01
29,0.0261,0.01
30,0.0275,0.01
31,0.0288,0.02
32,0.0302,-0.036
33,0.0316,-0.002
34,0.033,-0.002
35,0.0344,0.01
36,0.0358,-0.012
37,0.0371,0.01
38,0.0385,0.01
39,0.0399,0.01
40,0.0413,-0.002
41,0.0427,-0.012
42,0.0441,-0.002
43,0.0454,-0.002
44,0.0468,-0.002
45,0.0482,0.02
46,0.0496,0.01
47,0.051,0.01
48,0.0524,-0.002
49,0.0537,-0.012
50,0.0551,-0.014
51,0.0565,-0.002
52,0.0579,-0.014
53,0.0593,-0.002
54,0.0607,0.03
55,0.0617,-0.024
56,0.0627,0.01
57,0.0638,0.02
58,0.0648,-0.002
59,0.0659,0.02
60,0.0669,-0.002
61,0.068,0.01
62,0.069,-0.002
63,0.07,0.02
64,0.0711,-0.002
65,0.0721,0.02
66,0.0732,-0.002
67,0.0742,-0.002
68,0.0752,-0.002
69,0.0763,0.01
70,0.0773,-0.024
71,0.0784,-0.012
72,0.0794,0.01
73,0.0804,0.02
74,0.0815,0.01
75,0.0825,-0.002
76,0.0836,-0.012
77,0.0846,-0.002
78,0.0856,0.01
79,0.0867,0.02
80,0.0877,0.01
81,0.0888,-0.002
82,0.0898,-0.024
83,0.0909,-0.002
84,0.0919,0.02
85,0.0929,0.01
86,0.094,-0.002
87,0.095,0.01
88,0.0961,-0.012
89,0.0971,-0.002
90,0.0981,0.032
91,0.0992,0.02
92,0.1002,-0.014
93,0.1013,0.01
94,0.1023,-0.002
95,0.1033,-0.002
96,0.1044,0.02
97,0.1054,0.01
98,0.1065,-0.002
99,0.1075,0.01
100,0.1085,0.01
101,0.1096,0.01
102,0.1106,-0.002
103,0.1117,-0.014
104,0.1127,0.01
105,0.1138,-0.002
106,0.1148,-0.002
107,0.1158,-0.002
108,0.1169,-0.002
109,0.1179,-0.002
110,0.119,-0.002
111,0.12,0.01
112,0.121,-0.002
113,0.1221,0.02
114,0.1231,-0.002
115,0.1242,-0.002
116,0.1252,-0.002
117,0.1262,0.01
118,0.1273,0.02
119,0.1283,-0.002
120,0.1294,0.01
121,0.1304,0.02
122,0.1314,0.01
123,0.1325,-0.002
124,0.1335,0.02
125,0.1346,-0.012
126,0.1354,-0.012
127,0.1363,-0.002
128,0.1372,-0.002
129,0.1381,-0.002
130,0.1389,0.01
131,0.1398,-0.002
132,0.1407,0.01
133,0.1416,0.01
134,0.1424,0.01
135,0.1433,-0.002
136,0.1442,0.01
137,0.145,0.01
138,0.1459,-0.002
139,0.1468,0.01
140,0.1477,0.02
141,0.1485,-0.002
142,0.1494,-0.012
143,0.1503,-0.012
144,0.1512,0.02
145,0.152,-0.002
146,0.1529,-0.002
147,0.1538,-0.002
148,0.1546,-0.002
149,0.1555,0.02
150,0.1564,0.01
151,0.1573,-0.002
152,0.1581,0.01
153,0.159,-0.002
154,0.1599,0.01
155,0.1608,0.01
156,0.1616,-0.002
157,0.1625,0.01
158,0.1634,-0.002
159,0.1642,-0.014
160,0.1651,-0.002
