Sample #,Relative Time[s],Flow [ml/min]
0,0.0011,0.02
1,0.0021,0.01
2,0.0032,0.02
3,0.0042,-0.002
4,0.0053,0.01
5,0.0064,-0.002
6,0.0074,-0.002
7,0.0085,0.01
8,0.0095,-0.014
9,0.0106,-0.002
10,0.0116,-0.002
11,0.0127,-0.012
12,0.0138,0.01
13,0.0148,-0.024
14,0.0159,-0.012
15,0.017,-0.002
16,0.0181,-0.002
17,0.0193,0.01
18,0.0204,0.02
19,0.0215,-0.012
20,0.0226,0.02
21,0.0238,0.01
22,0.0249,0.02
23,0.026,-0.002
24,0.0272,0.02
25,0.0283,-0.002
26,0.0294,-0.002
27,0.0305,-0.012
28,0.0317,-0.012
29,0.0328,0.01
30,0.0339,-0.012
31,0.0351,0.01
32,0.0362,-0.024
33,0.0373,-0.002
34,0.0384,0.01
35,0.0396,0.01
36,0.0407,-0.012
37,0.0418,0.01
38,0.043,0.01
39,0.0441,0.02
40,0.0452,-0.002
41,0.0463,-0.002
42,0.0475,0.01
43,0.0486,0.01
44,0.0497,-0.002
45,0.0509,-0.002
46,0.052,-0.012
47,0.0531,-0.014
48,0.0542,-0.012
49,0.0554,0.01
50,0.0565,0.01
51,0.0576,-0.002
52,0.0588,-0.002
53,0.0597,0.01
54,0.0607,-0.014
55,0.0617,-0.002
56,0.0627,-0.002
57,0.0637,-0.002
58,0.0646,0.01
59,0.0656,0.01
60,0.0666,0.01
61,0.0676,-0.002
62,0.0685,-0.002
63,0.0695,0.01
64,0.0705,-0.002
65,0.0715,-0.002
66,0.0725,-0.012
67,0.0734,-0.014
68,0.0744,0.01
69,0.0754,-0.012
70,0.0764,-0.002
71,0.0774,-0.002
72,0.0783,0.01
73,0.0793,0.01
74,0.0803,-0.014
75,0.0813,-0.002
76,0.0823,0.01
77,0.0832,-0.002
78,0.0842,-0.012
79,0.0852,-0.012
80,0.0862,0.02
81,0.0871,0.01
82,0.0881,-0.002
83,0.0891,0.01
84,0.0901,-0.002
85,0.0911,-0.012
86,0.092,0.01
87,0.093,0.01
88,0.094,-0.014
89,0.095,0.01
90,0.096,-0.002
91,0.0969,0.01
92,0.0979,0.01
93,0.0989,0.01
94,0.0999,-0.002
95,0.1009,-0.002
96,0.1018,-0.002
97,0.1028,-0.002
98,0.1038,-0.014
99,0.1048,-0.014
100,0.1057,-0.002
101,0.1067,0.02
102,0.1077,0.01
103,0.1087,-0.012
104,0.1097,-0.002
105,0.1106,-0.002
106,0.1116,0.01
107,0.1126,-0.002
108,0.1136,-0.002
109,0.1145,0.01
110,0.1155,0.01
111,0.1165,0.01
112,0.1175,0.01
113,0.1184,-0.012
114,0.1194,-0.002
115,0.1204,0.01
116,0.1213,-0.002
117,0.1223,0.01
118,0.1233,-0.002
119,0.1243,0.01
120,0.1252,-0.012
121,0.1262,0.01
122,0.1272,0.01
123,0.1282,0.01
124,0.1291,-0.002
125,0.1301,0.02
126,0.1311,-0.024
127,0.132,0.01
128,0.133,0.01
129,0.134,-0.002
130,0.135,-0.002
131,0.1359,0.01
132,0.1369,0.01
133,0.1379,-0.002
134,0.1388,0.02
135,0.1398,0.01
136,0.1408,-0.002
137,0.1418,-0.002
138,0.1427,0.01
139,0.1437,0.01
140,0.1447,-0.012
141,0.1457,-0.002
142,0.1466,0.01
143,0.1476,-0.012
144,0.1486,-0.002
145,0.1495,0.01
146,0.1505,0.01
147,0.1515,0.01
148,0.1525,-0.012
149,0.1534,-0.002
150,0.1544,0.01
151,0.1554,-0.014
152,0.1564,0.01
153,0.1575,0.01
154,0.1585,0.02
155,0.1596,-0.014
156,0.1606,0.01
157,0.1616,-0.002
158,0.1627,-0.012
159,0.1637,-0.014
160,0.1648,-0.002
161,0.1658,-0.014
162,0.1669,-0.012
163,0.1679,-0.002
164,0.169,-0.024
165,0.17,-0.012
166,0.171,0.01
167,0.1721,0.02
168,0.1731,-0.002
169,0.1742,-0.002
170,0.1752,-0.002
171,0.1763,0.01
172,0.1773,0.01
173,0.1784,-0.002
174,0.1794,-0.002
175,0.1805,0.032
176,0.1815,-0.002
177,0.1825,0.01
178,0.1836,0.01
179,0.1846,-0.002
180,0.1857,-0.002
181,0.1867,0.01
182,0.1878,-0.002
183,0.1888,-0.002
184,0.1899,0.01
185,0.1909,0.02
186,0.1919,-0.002
187,0.193,-0.024
188,0.194,-0.002
189,0.1951,0.01
190,0.1961,0.01
191,0.1972,0.01
192,0.1982,0.01
193,0.1993,-0.002
194,0.2003,-0.002
195,0.2014,-0.012
196,0.2024,-0.002
197,0.2034,0.01
198,0.2045,0.01
199,0.2055,0.02
200,0.2066,-0.002
201,0.2076,0.01
202,0.2087,0.02
203,0.2097,0.01
204,0.2108,0.01
205,0.2118,-0.002
206,0.2128,-0.002
207,0.2139,0.02
208,0.2149,0.02
209,0.216,0.01
210,0.2169,-0.002
211,0.2178,-0.002
212,0.2188,0.01
213,0.2197,-0.002
214,0.2206,0.01
215,0.2215,0.02
216,0.2225,0.01
217,0.2234,-0.002
