Sample #,Relative Time[s],Flow [ml/min]
0,0.0012,-0.002
1,0.0023,-0.024
2,0.0034,-0.002
3,0.0046,-0.024
4,0.0057,0.01
5,0.0068,0.01
6,0.008,-0.012
7,0.0091,-0.002
8,0.0102,-0.002
9,0.0114,0.01
10,0.0125,0.01
11,0.0136,0.01
12,0.0148,0.02
13,0.0159,0.01
14,0.017,0.02
15,0.0181,0.01
16,0.0192,0.01
17,0.0203,0.01
18,0.0214,0.01
19,0.0225,-0.002
20,0.0236,-0.002
21,0.0247,0.01
22,0.0258,-0.002
23,0.0269,-0.012
24,0.028,0.01
25,0.0291,-0.002
26,0.0302,-0.002
27,0.0313,0.01
28,0.0324,0.01
29,0.0335,-0.002
30,0.0346,0.02
31,0.0357,0.03
32,0.0368,-0.002
33,0.0379,0.02
34,0.039,-0.014
35,0.0401,-0.002
36,0.0412,-0.012
37,0.0423,0.01
38,0.0434,0.01
39,0.0445,-0.014
40,0.0456,0.01
41,0.0467,-0.002
42,0.0478,0.01
43,0.0489,-0.014
44,0.05,0.02
45,0.0511,-0.002
46,0.0522,0.01
47,0.0533,0.01
48,0.0544,-0.014
49,0.0555,-0.002
50,0.0566,0.01
51,0.0577,0.01
52,0.0587,-0.002
53,0.0596,0.02
54,0.0606,0.02
55,0.0615,0.01
56,0.0625,-0.002
57,0.0634,0.01
58,0.0644,0.02
59,0.0654,0.02
60,0.0663,-0.002
61,0.0673,-0.002
62,0.0682,-0.002
63,0.0692,-0.002
64,0.0702,0.02
65,0.0711,0.01
66,0.0721,0.01
67,0.073,0.01
68,0.074,0.01
69,0.0749,-0.014
70,0.0759,0.02
71,0.0769,-0.002
72,0.0778,0.01
73,0.0788,-0.002
74,0.0797,-0.002
75,0.0807,-0.002
76,0.0816,0.02
77,0.0826,0.01
78,0.0836,0.01
79,0.0845,0.01
80,0.0855,0.01
81,0.0864,0.01
82,0.0874,-0.024
83,0.0883,0.02
84,0.0893,-0.024
85,0.0903,-0.012
86,0.0912,-0.002
87,0.0922,-0.002
88,0.0931,-0.012
89,0.0941,0.01
90,0.095,0.02
91,0.096,-0.002
92,0.097,0.02
93,0.0979,0.01
94,0.0989,-0.002
95,0.0998,-0.002
96,0.1008,0.01
97,0.1017,-0.012
98,0.1027,-0.002
99,0.1037,0.02
100,0.1046,-0.014
101,0.1056,0.01
102,0.1066,0.02
103,0.1076,-0.002
104,0.1086,-0.002
105,0.1096,-0.002
106,0.1106,-0.014
107,0.1116,0.02
108,0.1126,0.01
109,0.1136,0.01
110,0.1146,-0.002
111,0.1156,0.02
112,0.1166,-0.002
113,0.1176,-0.002
114,0.1186,0.01
115,0.1196,-0.002
116,0.1206,0.01
117,0.1216,0.01
118,0.1226,-0.002
119,0.1236,0.02
120,0.1246,-0.014
121,0.1256,0.01
122,0.1266,0.01
123,0.1276,-0.012
124,0.1286,0.01
125,0.1296,0.01
126,0.1306,-0.002
127,0.1316,0.01
128,0.1326,0.02
129,0.1336,0.01
130,0.1346,0.01
131,0.1356,0.008
132,0.1366,0.01
133,0.1376,-0.014
134,0.1386,0.01
135,0.1396,0.01
136,0.1406,-0.002
137,0.1416,0.02
138,0.1426,-0.002
139,0.1436,0.01
140,0.1446,0.01
141,0.1456,0.01
142,0.1466,-0.012
143,0.1476,0.02
144,0.1486,-0.002
145,0.1496,0.01
146,0.1505,0.02
147,0.1515,-0.002
148,0.1525,-0.002
149,0.1535,-0.012
150,0.1544,-0.002
151,0.1554,-0.002
152,0.1564,0.01
153,0.1573,0.02
154,0.1583,0.01
155,0.1593,-0.014
156,0.1603,0.01
157,0.1612,0.01
158,0.1622,-0.002
159,0.1632,-0.002
160,0.1641,0.01
161,0.1651,0.01
162,0.1661,-0.012
163,0.1671,-0.012
164,0.168,0.01
165,0.169,0.02
166,0.17,0.01
167,0.1709,0.02
168,0.1719,0.01
169,0.1729,0.02
170,0.1739,-0.012
171,0.1748,-0.002
172,0.1758,0.02
173,0.1768,0.01
174,0.1777,-0.002
175,0.1787,-0.002
176,0.1797,0.01
177,0.1807,0.01
178,0.1816,-0.002
179,0.1826,0.01
180,0.1836,0.01
