Sample #,Relative Time[s],Flow [ml/min]
0,0.0011,-0.012
1,0.0023,-0.002
2,0.0034,-0.002
3,0.0046,0.01
4,0.0057,-0.002
5,0.0068,-0.014
6,0.008,-0.002
7,0.0091,0.032
8,0.0103,0.01
9,0.0114,0.01
10,0.0125,0.02
11,0.0137,-0.002
12,0.0148,0.01
13,0.016,0.032
14,0.0171,0.02
15,0.0182,0.03
16,0.0193,0.02
17,0.0205,0.02
18,0.0216,0.01
19,0.0227,0.01
20,0.0238,0.01
21,0.025,0.01
22,0.0261,0.01
23,0.0272,-0.012
24,0.0284,-0.012
25,0.0295,-0.002
26,0.0306,-0.024
27,0.0317,-0.012
28,0.0329,-0.024
29,0.034,-0.024
30,0.0351,-0.024
31,0.0362,-0.012
32,0.0374,-0.024
33,0.0385,-0.024
34,0.0396,-0.002
35,0.0408,0.01
36,0.0419,0.02
37,0.043,0.032
38,0.0441,0.042
39,0.0453,0.02
40,0.0464,0.02
41,0.0475,0.032
42,0.0487,0.032
43,0.0498,0.03
44,0.0509,0.052
45,0.052,0.01
46,0.0532,-0.002
47,0.0543,0.01
48,0.0554,0.01
49,0.0565,-0.012
50,0.0577,0.01
51,0.0588,-0.014
52,0.0598,-0.012
53,0.0607,-0.024
54,0.0617,-0.012
55,0.0626,-0.036
56,0.0636,-0.024
57,0.0645,-0.002
58,0.0655,-0.014
59,0.0665,-0.002
60,0.0674,0.01
61,0.0684,0.01
62,0.0693,-0.002
63,0.0703,-0.002
64,0.0712,-0.014
65,0.0722,0.01
66,0.0731,0.02
67,0.0741,0.01
68,0.0751,0.01
69,0.076,0.032
70,0.077,0.01
71,0.0779,0.01
72,0.0789,0.01
73,0.0798,0.02
74,0.0808,0.02
75,0.0818,0.01
76,0.0827,-0.002
77,0.0837,0.01
78,0.0846,0.02
79,0.0856,-0.002
80,0.0865,0.01
81,0.0875,0.01
82,0.0884,-0.002
83,0.0894,-0.002
84,0.0904,0.01
85,0.0913,0.01
86,0.0923,0.01
87,0.0932,0.01
88,0.0942,-0.012
89,0.0951,-0.002
90,0.0961,-0.002
91,0.097,0.01
92,0.098,-0.002
93,0.099,-0.002
94,0.0999,-0.036
95,0.1009,-0.002
96,0.1018,-0.002
97,0.1028,-0.002
98,0.1037,-0.002
99,0.1047,-0.014
100,0.1057,-0.002
101,0.1066,0.01
102,0.1076,-0.002
103,0.1086,-0.002
104,0.1096,0.01
105,0.1105,0.01
106,0.1115,0.02
107,0.1125,0.032
108,0.1135,0.032
109,0.1144,0.032
110,0.1154,0.02
111,0.1164,0.02
112,0.1174,0.02
113,0.1183,0.02
114,0.1193,0.01
115,0.1203,-0.002
116,0.1213,0.02
117,0.1222,-0.002
118,0.1232,-0.012
119,0.1242,-0.014
120,0.1252,-0.024
121,0.1261,-0.014
122,0.1271,-0.048
123,0.1281,-0.024
124,0.1291,-0.024
125,0.13,-0.036
126,0.131,0.01
127,0.132,-0.012
128,0.133,0.01
129,0.1339,-0.002
130,0.1349,-0.002
131,0.1359,-0.002
132,0.1369,0.01
133,0.1378,0.01
134,0.1388,-0.002
135,0.1398,0.032
136,0.1408,0.02
137,0.1417,0.042
138,0.1427,0.032
139,0.1437,0.032
140,0.1447,0.02
141,0.1456,0.02
142,0.1466,0.01
143,0.1476,0.02
144,0.1485,-0.002
145,0.1495,-0.002
146,0.1505,-0.024
147,0.1515,-0.014
148,0.1524,-0.002
149,0.1534,-0.012
150,0.1544,-0.024
151,0.1554,-0.024
152,0.1563,-0.024
153,0.1573,-0.002
154,0.1583,-0.014
155,0.1593,-0.002
156,0.1602,-0.002
157,0.1612,-0.002
158,0.1622,0.01
159,0.1632,0.01
160,0.1641,0.02
161,0.1651,0.02
162,0.1661,0.02
163,0.167,0.02
164,0.168,0.032
165,0.169,-0.002
166,0.17,0.01
167,0.1709,0.02
168,0.1719,0.02
169,0.1729,0.02
170,0.1739,-0.014
171,0.1748,-0.014
172,0.1758,-0.012
173,0.1768,-0.012
174,0.1778,-0.014
175,0.1787,-0.024
176,0.1797,0.01
177,0.1807,-0.002
178,0.1817,-0.002
179,0.1826,0.01
180,0.1836,-0.002
181,0.1846,-0.014
182,0.1855,-0.014
183,0.1865,0.02
184,0.1875,0.02
185,0.1885,0.03
186,0.1894,0.01
187,0.1904,0.01
188,0.1914,0.02
189,0.1924,0.01
190,0.1933,-0.002
191,0.1943,0.01
192,0.1953,-0.002
193,0.1963,0.02
194,0.1972,-0.002
195,0.1982,0.01
196,0.1992,0.02
197,0.2002,0.01
198,0.2011,-0.002
199,0.2021,0.01
200,0.2031,-0.002
